CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 28185
NOMBRE    : MARIA TERESA
ESTADO    : TAMAULIPAS
MUNICIPIO : CASAS
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 023.562°
LONGITUD  : -99.025°
ALTITUD   : 378 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
03/10/1979  0       Nulo   Nulo   Nulo   
04/10/1979  0       Nulo   Nulo   Nulo   
05/10/1979  0       Nulo   Nulo   Nulo   
06/10/1979  0       Nulo   Nulo   Nulo   
07/10/1979  0       Nulo   Nulo   Nulo   
08/10/1979  0       Nulo   Nulo   Nulo   
09/10/1979  0       Nulo   Nulo   Nulo   
10/10/1979  0       Nulo   Nulo   Nulo   
11/10/1979  0       Nulo   Nulo   Nulo   
12/10/1979  0       Nulo   Nulo   Nulo   
13/10/1979  0       Nulo   Nulo   Nulo   
14/10/1979  0       Nulo   Nulo   Nulo   
15/10/1979  0       Nulo   Nulo   Nulo   
16/10/1979  0       Nulo   Nulo   Nulo   
17/10/1979  0       Nulo   Nulo   Nulo   
18/10/1979  0       Nulo   Nulo   Nulo   
19/10/1979  0       Nulo   Nulo   Nulo   
20/10/1979  0       Nulo   Nulo   Nulo   
21/10/1979  0       Nulo   Nulo   Nulo   
22/10/1979  0       Nulo   Nulo   Nulo   
23/10/1979  0       Nulo   Nulo   Nulo   
24/10/1979  0       Nulo   Nulo   Nulo   
25/10/1979  0       Nulo   Nulo   Nulo   
26/10/1979  0       Nulo   Nulo   Nulo   
27/10/1979  0       Nulo   Nulo   Nulo   
28/10/1979  0       Nulo   Nulo   Nulo   
29/10/1979  0       Nulo   Nulo   Nulo   
30/10/1979  0       Nulo   Nulo   Nulo   
31/10/1979  0       Nulo   Nulo   Nulo   
01/11/1979  0       Nulo   Nulo   Nulo   
02/11/1979  0       Nulo   Nulo   Nulo   
03/11/1979  0       Nulo   Nulo   Nulo   
04/11/1979  0       Nulo   Nulo   Nulo   
05/11/1979  0       Nulo   Nulo   Nulo   
06/11/1979  0       Nulo   Nulo   Nulo   
07/11/1979  0       Nulo   Nulo   Nulo   
08/11/1979  0       Nulo   Nulo   Nulo   
09/11/1979  0       Nulo   Nulo   Nulo   
10/11/1979  0       Nulo   Nulo   Nulo   
11/11/1979  0       Nulo   Nulo   Nulo   
12/11/1979  0       Nulo   Nulo   Nulo   
13/11/1979  0       Nulo   Nulo   Nulo   
14/11/1979  0       Nulo   Nulo   Nulo   
15/11/1979  0       Nulo   Nulo   Nulo   
16/11/1979  0       Nulo   Nulo   Nulo   
17/11/1979  0       Nulo   Nulo   Nulo   
18/11/1979  0       Nulo   Nulo   Nulo   
19/11/1979  0       Nulo   Nulo   Nulo   
20/11/1979  0       Nulo   Nulo   Nulo   
21/11/1979  0       Nulo   Nulo   Nulo   
22/11/1979  0       Nulo   Nulo   Nulo   
23/11/1979  0       Nulo   Nulo   Nulo   
24/11/1979  0       Nulo   Nulo   Nulo   
25/11/1979  0       Nulo   Nulo   Nulo   
26/11/1979  0       Nulo   Nulo   Nulo   
27/11/1979  0       Nulo   Nulo   Nulo   
28/11/1979  0       Nulo   Nulo   Nulo   
29/11/1979  0       Nulo   Nulo   Nulo   
30/11/1979  0       Nulo   Nulo   Nulo   
01/12/1979  0       Nulo   Nulo   Nulo   
02/12/1979  0       Nulo   Nulo   Nulo   
03/12/1979  0       Nulo   Nulo   Nulo   
04/12/1979  0       Nulo   Nulo   Nulo   
05/12/1979  0       Nulo   Nulo   Nulo   
06/12/1979  0       Nulo   Nulo   Nulo   
07/12/1979  0       Nulo   Nulo   Nulo   
08/12/1979  0       Nulo   Nulo   Nulo   
09/12/1979  0       Nulo   Nulo   Nulo   
10/12/1979  0       Nulo   Nulo   Nulo   
11/12/1979  0       Nulo   Nulo   Nulo   
12/12/1979  0       Nulo   Nulo   Nulo   
13/12/1979  0       Nulo   Nulo   Nulo   
14/12/1979  0       Nulo   Nulo   Nulo   
15/12/1979  0       Nulo   Nulo   Nulo   
16/12/1979  0       Nulo   Nulo   Nulo   
17/12/1979  0       Nulo   Nulo   Nulo   
18/12/1979  0       Nulo   Nulo   Nulo   
19/12/1979  0       Nulo   Nulo   Nulo   
20/12/1979  0       Nulo   Nulo   Nulo   
21/12/1979  0       Nulo   Nulo   Nulo   
22/12/1979  0       Nulo   Nulo   Nulo   
23/12/1979  0       Nulo   Nulo   Nulo   
24/12/1979  0       Nulo   Nulo   Nulo   
25/12/1979  0       Nulo   Nulo   Nulo   
26/12/1979  0       Nulo   Nulo   Nulo   
27/12/1979  0       Nulo   Nulo   Nulo   
28/12/1979  0       Nulo   Nulo   Nulo   
29/12/1979  0       Nulo   Nulo   Nulo   
30/12/1979  0       Nulo   Nulo   Nulo   
31/12/1979  0       Nulo   Nulo   Nulo   
01/02/1980  0       Nulo   Nulo   Nulo   
02/02/1980  0       Nulo   Nulo   Nulo   
03/02/1980  0       Nulo   Nulo   Nulo   
04/02/1980  0       Nulo   Nulo   Nulo   
05/02/1980  0       Nulo   Nulo   Nulo   
06/02/1980  0       Nulo   Nulo   Nulo   
07/02/1980  0       Nulo   Nulo   Nulo   
08/02/1980  0       Nulo   Nulo   Nulo   
09/02/1980  0       Nulo   Nulo   Nulo   
10/02/1980  0       Nulo   Nulo   Nulo   
11/02/1980  0       Nulo   Nulo   Nulo   
12/02/1980  0       Nulo   Nulo   Nulo   
13/02/1980  0       Nulo   Nulo   Nulo   
14/02/1980  0       Nulo   Nulo   Nulo   
