CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A ABRIL 2022

ESTACION  : 14173
NOMBRE    : ATEQUIZA NORMAL RURAL
ESTADO    : JALISCO
MUNICIPIO : IXTLAHUACAN DE LOS MEMBRILLOS
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 020.396°
LONGITUD  : -103.135°
ALTITUD   : 1521 msnm

EMISIÓN   : 19/04/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/05/1937  0       Nulo   Nulo   Nulo   
02/05/1937  0       Nulo   Nulo   Nulo   
03/05/1937  0       Nulo   Nulo   Nulo   
04/05/1937  0       Nulo   Nulo   Nulo   
05/05/1937  0       Nulo   27.5   Nulo   
06/05/1937  0       Nulo   31.5   10.5   
07/05/1937  0       Nulo   34     10     
08/05/1937  0       Nulo   34.5   10.5   
09/05/1937  0       Nulo   33.5   15.5   
10/05/1937  0       Nulo   35.5   14     
11/05/1937  0       Nulo   33     15.5   
12/05/1937  0       Nulo   33     14.5   
13/05/1937  0.5     Nulo   34     15.5   
14/05/1937  0       Nulo   31     21.5   
15/05/1937  0       Nulo   34     22     
16/05/1937  0       Nulo   36     14     
17/05/1937  0       Nulo   36     19.5   
18/05/1937  0       Nulo   35     14     
19/05/1937  0       Nulo   35     15.5   
20/05/1937  0       Nulo   34.5   15.5   
21/05/1937  0       Nulo   36     15.5   
22/05/1937  0       Nulo   35.5   14.5   
23/05/1937  0       Nulo   36     15     
24/05/1937  0       Nulo   35.5   Nulo   
25/05/1937  0       Nulo   34.5   20     
26/05/1937  0       Nulo   35     18     
27/05/1937  0       Nulo   35.5   18     
28/05/1937  0       Nulo   35     15     
29/05/1937  0       Nulo   34     13.5   
30/05/1937  0       Nulo   35     14.5   
31/05/1937  0       Nulo   39.5   14     
01/06/1937  4       Nulo   35.5   13     
02/06/1937  0.5     Nulo   36     19     
03/06/1937  0       Nulo   35     18     
04/06/1937  0       Nulo   34.5   15.5   
05/06/1937  0       Nulo   37.5   17     
06/06/1937  0       Nulo   36.5   19.5   
07/06/1937  0       Nulo   34.5   15     
08/06/1937  0       Nulo   36.5   18     
09/06/1937  0       Nulo   37.5   15     
10/06/1937  0       Nulo   35.5   13     
11/06/1937  0       Nulo   32     18     
12/06/1937  7.5     Nulo   32     18     
13/06/1937  10.5    Nulo   30.5   15.5   
14/06/1937  16.3    Nulo   32.5   15     
15/06/1937  0.3     Nulo   32.5   Nulo   
16/06/1937  5.3     Nulo   31.5   15     
17/06/1937  1.8     Nulo   32.5   14.5   
18/06/1937  12.3    Nulo   33     16     
19/06/1937  11.8    Nulo   32.5   16.5   
20/06/1937  1.5     Nulo   35     18     
21/06/1937  16.3    Nulo   34     22     
22/06/1937  3.5     Nulo   26.5   17.5   
23/06/1937  20      Nulo   32.5   21.5   
24/06/1937  5.5     Nulo   37     15     
25/06/1937  0       Nulo   36.5   16.5   
26/06/1937  23.3    Nulo   27     18     
27/06/1937  3.3     Nulo   25     12.5   
28/06/1937  0       Nulo   25     16     
29/06/1937  8.8     Nulo   33.5   16.5   
30/06/1937  5.3     Nulo   36     15     
01/07/1937  12      Nulo   36     15.5   
02/07/1937  5.5     Nulo   33.5   Nulo   
03/07/1937  25.8    Nulo   34     17     
04/07/1937  5.5     Nulo   35     17.5   
05/07/1937  58.8    Nulo   36.5   Nulo   
06/07/1937  66      Nulo   23.5   16     
07/07/1937  20      Nulo   35.5   16     
08/07/1937  5.2     Nulo   26     15.5   
09/07/1937  67.8    Nulo   28     16     
10/07/1937  11      Nulo   29     15.5   
11/07/1937  5.5     Nulo   34     16     
12/07/1937  25      Nulo   33.5   16     
13/07/1937  2.5     Nulo   33     16.5   
14/07/1937  1.5     Nulo   32.5   17     
15/07/1937  0       Nulo   32.5   15.5   
16/07/1937  5.5     Nulo   34     16     
17/07/1937  0       Nulo   33     14.5   
18/07/1937  7.5     Nulo   30.5   15     
19/07/1937  0       Nulo   27.5   14     
20/07/1937  6.5     Nulo   32.5   15     
21/07/1937  2.8     Nulo   33     15     
22/07/1937  0       Nulo   34.5   13     
23/07/1937  0       Nulo   35.5   16     
24/07/1937  0       Nulo   32.5   14.5   
25/07/1937  0       Nulo   32     14     
26/07/1937  0       Nulo   36     13.5   
27/07/1937  0       Nulo   35.5   16.5   
28/07/1937  0       Nulo   30.5   18.5   
29/07/1937  0.3     Nulo   30     19     
30/07/1937  0       Nulo   28     16     
31/07/1937  1.5     Nulo   31     15.5   
01/08/1937  9       Nulo   31     17.5   
02/08/1937  2       Nulo   34.5   15.5   
03/08/1937  6.5     Nulo   36     16.5   
04/08/1937  8.5     Nulo   34     16.5   
05/08/1937  1.5     Nulo   34     15     
06/08/1937  8       Nulo   27.8   16     
07/08/1937  0       Nulo   33.5   15.5   
08/08/1937  2.5     Nulo   33.5   Nulo   
09/08/1937  7       Nulo   33     15     
10/08/1937  0       Nulo   32     15.5   
11/08/1937  0       Nulo   32     17     
12/08/1937  25.5    Nulo   32     16.5   
13/08/1937  0       Nulo   27     14.5   
14/08/1937  5.5     Nulo   31.5   15     
15/08/1937  9.5     Nulo   26.5   18     
16/08/1937  12      Nulo   33     17.5   
17/08/1937  12.9    Nulo   26.5   15.5   
18/08/1937  0.5     Nulo   32.5   15.5   
19/08/1937  15.5    Nulo   33.5   16     
20/08/1937  38.5    Nulo   27     15.5   
21/08/1937  6.5     Nulo   33     14.5   
22/08/1937  0       Nulo   33.5   15.5   
23/08/1937  0       Nulo   33.5   14     
24/08/1937  4.5     Nulo   32     16     
25/08/1937  0       Nulo   31.5   15.5   
26/08/1937  6       Nulo   31.5   14.5   
27/08/1937  44.5    Nulo   32     16     
28/08/1937  0       Nulo   31.5   13     
29/08/1937  0       Nulo   33.5   13.5   
30/08/1937  0       Nulo   32.5   16     
31/08/1937  1.5     Nulo   34     14     
01/09/1937  2.5     Nulo   32.5   15.5   
02/09/1937  0       Nulo   33.5   15.8   
03/09/1937  13.5    Nulo   33.5   16     
04/09/1937  1       Nulo   33.5   16     
05/09/1937  27.5    Nulo   33     16     
06/09/1937  18      Nulo   33.5   15.5   
07/09/1937  4.5     Nulo   33     14     
08/09/1937  29      Nulo   32.5   15.5   
09/09/1937  2.3     Nulo   34     16     
10/09/1937  0.5     Nulo   26     16     
11/09/1937  0       Nulo   33     14.5   
12/09/1937  0       Nulo   32     15.5   
13/09/1937  0       Nulo   32.5   13.5   
14/09/1937  0       Nulo   32.5   15.5   
15/09/1937  18      Nulo   33     16     
16/09/1937  2.8     Nulo   33     17     
17/09/1937  0       Nulo   32.5   15     
18/09/1937  4.5     Nulo   32.5   16     
19/09/1937  28.5    Nulo   33.5   15     
20/09/1937  52.5    Nulo   32.5   11.5   
21/09/1937  0       Nulo   33     16     
22/09/1937  0       Nulo   33     14     
23/09/1937  0       Nulo   32.5   16     
24/09/1937  0       Nulo   33     15.5   
25/09/1937  0       Nulo   33     16     
26/09/1937  0       Nulo   32.5   14     
27/09/1937  0       Nulo   32.5   12.5   
28/09/1937  0       Nulo   33.5   14.5   
29/09/1937  0       Nulo   34.5   13.5   
30/09/1937  0       Nulo   32.5   13     
01/10/1937  0       Nulo   33     9.5    
02/10/1937  0       Nulo   32.5   10     
03/10/1937  0       Nulo   33     9      
04/10/1937  0       Nulo   33     9      
05/10/1937  0       Nulo   32.5   9      
06/10/1937  0       Nulo   27.5   8      
07/10/1937  0       Nulo   27.5   13     
08/10/1937  0.5     Nulo   28     15     
09/10/1937  0       Nulo   37     15.5   
10/10/1937  10.8    Nulo   33     15     
11/10/1937  9.5     Nulo   32     12.5   
12/10/1937  0       Nulo   34.5   13     
13/10/1937  0       Nulo   33.5   14     
14/10/1937  0       Nulo   32     16     
15/10/1937  0       Nulo   32.5   15.5   
16/10/1937  8.5     Nulo   34     14.5   
17/10/1937  0       Nulo   32     13.5   
18/10/1937  0       Nulo   32.5   13     
19/10/1937  0       Nulo   32.5   10     
20/10/1937  6.3     Nulo   32.5   11     
21/10/1937  0       Nulo   27     14     
22/10/1937  0       Nulo   33     14     
23/10/1937  0       Nulo   32.5   15.5   
24/10/1937  0       Nulo   33     14.5   
25/10/1937  13.5    Nulo   Nulo   12     
26/10/1937  15.8    Nulo   19.5   14     
27/10/1937  6       Nulo   22     15     
28/10/1937  0.5     Nulo   20     13     
29/10/1937  4.2     Nulo   35.5   14     
30/10/1937  14      Nulo   35     15.5   
31/10/1937  17      Nulo   25.5   15     
01/11/1937  0       Nulo   24.5   14     
02/11/1937  0       Nulo   24.5   13.5   
03/11/1937  0       Nulo   23.5   8      
04/11/1937  0       Nulo   24     6.5    
05/11/1937  0       Nulo   25     8      
06/11/1937  0       Nulo   25.5   7      
07/11/1937  0       Nulo   26     6      
08/11/1937  0       Nulo   26     7      
09/11/1937  0       Nulo   26.5   8      
10/11/1937  0       Nulo   27     7.5    
11/11/1937  0       Nulo   28     8.5    
12/11/1937  0       Nulo   29     6.5    
13/11/1937  0       Nulo   27.5   5      
14/11/1937  0       Nulo   17     6      
15/11/1937  0       Nulo   18     7.5    
16/11/1937  0       Nulo   18.5   8      
17/11/1937  0       Nulo   26.5   7.5    
18/11/1937  0       Nulo   25     7.5    
19/11/1937  0       Nulo   25.5   7      
20/11/1937  0       Nulo   26     8      
21/11/1937  0       Nulo   25     8      
22/11/1937  0       Nulo   26     6.5    
23/11/1937  0       Nulo   24.5   7      
24/11/1937  0       Nulo   23.5   3      
25/11/1937  0       Nulo   23     0.5    
26/11/1937  0       Nulo   24     1      
27/11/1937  0       Nulo   23     3      
28/11/1937  0       Nulo   24     3      
29/11/1937  0       Nulo   24     5      
30/11/1937  0       Nulo   25     6      
01/12/1937  0       Nulo   25.5   6      
02/12/1937  0       Nulo   25     8      
03/12/1937  0       Nulo   24     8.5    
04/12/1937  0       Nulo   26     9      
05/12/1937  0       Nulo   26.5   6.5    
06/12/1937  0       Nulo   23     6      
07/12/1937  0       Nulo   24     6.5    
08/12/1937  0       Nulo   24     5      
09/12/1937  0       Nulo   25     5.5    
10/12/1937  0       Nulo   24.5   5.5    
11/12/1937  0       Nulo   24     5.5    
12/12/1937  0       Nulo   25.5   6      
13/12/1937  0       Nulo   25.5   4      
14/12/1937  0       Nulo   19     4.5    
15/12/1937  0       Nulo   15.5   Nulo   
16/12/1937  0       Nulo   19     4      
17/12/1937  0       Nulo   22     2      
18/12/1937  0       Nulo   12     1.5    
19/12/1937  0       Nulo   23     Nulo   
20/12/1937  0       Nulo   23     3      
21/12/1937  0       Nulo   24.5   9      
22/12/1937  0       Nulo   25     8.5    
23/12/1937  0       Nulo   24     5.5    
24/12/1937  0       Nulo   26     7      
25/12/1937  0       Nulo   25     6.5    
26/12/1937  0       Nulo   25     6      
27/12/1937  0       Nulo   26.5   5      
28/12/1937  0       Nulo   26.5   5.5    
29/12/1937  0       Nulo   24     5.5    
30/12/1937  0       Nulo   23     5.5    
31/12/1937  0       Nulo   24.5   4.5    
01/01/1938  0       Nulo   25     5      
02/01/1938  0       Nulo   24     5.5    
03/01/1938  0       Nulo   25     4      
04/01/1938  0       Nulo   25.5   5.5    
05/01/1938  0       Nulo   25     5      
06/01/1938  0       Nulo   26     5      
07/01/1938  0       Nulo   23     -0.5   
08/01/1938  0       Nulo   23     Nulo   
09/01/1938  0       Nulo   22.5   1      
10/01/1938  0       Nulo   24     2      
11/01/1938  0       Nulo   23.5   5      
12/01/1938  17      Nulo   13     4.5    
13/01/1938  1       Nulo   19     9      
14/01/1938  0       Nulo   23.5   7      
15/01/1938  0       Nulo   23.5   6.5    
16/01/1938  0       Nulo   24.5   5      
17/01/1938  0       Nulo   23     5      
18/01/1938  0       Nulo   25     5.5    
19/01/1938  0       Nulo   26     6      
20/01/1938  0       Nulo   24.5   6      
21/01/1938  0       Nulo   24.5   6      
22/01/1938  0       Nulo   23     6      
23/01/1938  0       Nulo   24     1      
24/01/1938  0       Nulo   24     -0.5   
25/01/1938  0       Nulo   24     Nulo   
26/01/1938  0       Nulo   24     0.5    
27/01/1938  0       Nulo   24     -1.5   
28/01/1938  0       Nulo   23.5   -1     
29/01/1938  0       Nulo   25     -3     
30/01/1938  0       Nulo   26     Nulo   
31/01/1938  0       Nulo   25     2      
01/02/1938  0       Nulo   25.5   2.5    
02/02/1938  0       Nulo   27     5      
03/02/1938  0       Nulo   27.5   3      
04/02/1938  0       Nulo   27.5   4.5    
05/02/1938  0       Nulo   28     4      
06/02/1938  0       Nulo   28     5      
07/02/1938  0       Nulo   24     7      
08/02/1938  0       Nulo   24     6      
09/02/1938  0       Nulo   25.5   6      
10/02/1938  0       Nulo   27.5   7      
11/02/1938  0       Nulo   26.5   7.5    
12/02/1938  0       Nulo   24     8      
13/02/1938  0       Nulo   27     6.5    
14/02/1938  0       Nulo   26     7      
15/02/1938  0       Nulo   24.5   Nulo   
16/02/1938  0       Nulo   25     8.5    
17/02/1938  0       Nulo   24.2   8.5    
18/02/1938  0       Nulo   24.5   4.5    
19/02/1938  0       Nulo   26     4.5    
20/02/1938  0       Nulo   25     3.5    
21/02/1938  0       Nulo   23     4      
22/02/1938  0       Nulo   24     Nulo   
23/02/1938  0       Nulo   24     4      
24/02/1938  0       Nulo   26     5.5    
25/02/1938  0       Nulo   28     6.5    
26/02/1938  0       Nulo   27     Nulo   
27/02/1938  0       Nulo   26     10.5   
28/02/1938  4.3     Nulo   28     10     
01/03/1938  4.5     Nulo   26     10     
02/03/1938  2.5     Nulo   25     10     
03/03/1938  0       Nulo   26     8      
04/03/1938  0       Nulo   28     9      
05/03/1938  0       Nulo   29     8      
06/03/1938  0       Nulo   28     Nulo   
07/03/1938  0       Nulo   27     Nulo   
08/03/1938  0       Nulo   27     10.8   
09/03/1938  0       Nulo   27     11     
10/03/1938  0       Nulo   27.2   9      
11/03/1938  0       Nulo   27     8.8    
12/03/1938  0       Nulo   30.5   9      
13/03/1938  0       Nulo   30     8      
14/03/1938  0       Nulo   29.5   9.5    
15/03/1938  0       Nulo   29.5   5      
16/03/1938  0       Nulo   30     5.5    
17/03/1938  0       Nulo   30     7      
18/03/1938  0       Nulo   26     5.8    
19/03/1938  0       Nulo   27.5   Nulo   
20/03/1938  0       Nulo   27.5   8.5    
21/03/1938  0       Nulo   27     8.5    
22/03/1938  0       Nulo   27     10.5   
23/03/1938  0       Nulo   29     11     
24/03/1938  0       Nulo   30.5   9      
25/03/1938  0       Nulo   31     10.2   
26/03/1938  0       Nulo   31     10.5   
27/03/1938  0       Nulo   30.5   9      
28/03/1938  0       Nulo   32.5   9      
29/03/1938  0       Nulo   32     8.5    
30/03/1938  0       Nulo   31.5   6.5    
31/03/1938  0       Nulo   33.2   6      
01/04/1938  0       Nulo   33     9.5    
02/04/1938  0       Nulo   33     10     
03/04/1938  0       Nulo   32     10.5   
04/04/1938  0       Nulo   31     8.5    
05/04/1938  0       Nulo   31.5   7      
06/04/1938  0       Nulo   30.5   6      
07/04/1938  0       Nulo   29.5   4      
08/04/1938  0       Nulo   28.5   4      
09/04/1938  0       Nulo   28     6      
10/04/1938  0       Nulo   29     7      
11/04/1938  0       Nulo   29     6      
12/04/1938  0       Nulo   30.5   9      
13/04/1938  0       Nulo   30     8      
14/04/1938  0       Nulo   31     7.5    
15/04/1938  0       Nulo   31.9   8.5    
16/04/1938  0       Nulo   32.5   7.5    
17/04/1938  0       Nulo   30.5   7      
18/04/1938  0       Nulo   30.5   6      
19/04/1938  0       Nulo   29.8   9      
20/04/1938  0       Nulo   29.5   8.5    
21/04/1938  0       Nulo   30.9   11     
22/04/1938  0       Nulo   30.5   12     
23/04/1938  8.5     Nulo   31     Nulo   
24/04/1938  0       Nulo   30.8   13     
25/04/1938  0       Nulo   32     11.5   
26/04/1938  0       Nulo   33     10     
27/04/1938  0       Nulo   33     13     
28/04/1938  0       Nulo   32.5   14     
29/04/1938  0       Nulo   31.5   14.5   
30/04/1938  0       Nulo   31     12.5   
01/05/1938  0       Nulo   32.8   13     
02/05/1938  0       Nulo   32.5   14.5   
03/05/1938  0       Nulo   33     11     
04/05/1938  0       Nulo   32.5   11     
05/05/1938  0       Nulo   32     9      
06/05/1938  0       Nulo   31     15.5   
07/05/1938  0       Nulo   32     8.5    
08/05/1938  0       Nulo   32.5   8.5    
09/05/1938  0       Nulo   32     11     
10/05/1938  0       Nulo   30.5   10     
11/05/1938  0       Nulo   32     10.5   
12/05/1938  0       Nulo   32     10.5   
13/05/1938  0       Nulo   33     10     
14/05/1938  0       Nulo   33     11.5   
15/05/1938  0       Nulo   33     11.5   
16/05/1938  0       Nulo   31.5   11.5   
17/05/1938  0       Nulo   31.5   10.5   
18/05/1938  0       Nulo   32     11     
19/05/1938  0       Nulo   32     11.5   
20/05/1938  4.8     Nulo   33     16     
21/05/1938  0       Nulo   33     16     
22/05/1938  12.5    Nulo   32     16     
23/05/1938  14.3    Nulo   31     15     
24/05/1938  1.5     Nulo   30.5   16     
25/05/1938  16      Nulo   31     16     
26/05/1938  6.2     Nulo   30.5   13     
27/05/1938  1.3     Nulo   30.5   14     
28/05/1938  0.5     Nulo   31     14.5   
29/05/1938  0       Nulo   31     15     
30/05/1938  0       Nulo   31.5   15.8   
31/05/1938  0       Nulo   31.5   15     
01/06/1938  0       Nulo   31     14.5   
02/06/1938  0       Nulo   31     14     
03/06/1938  0       Nulo   30     15.5   
04/06/1938  0       Nulo   31     16.5   
05/06/1938  0       Nulo   31.5   13.5   
06/06/1938  0       Nulo   32.5   15     
07/06/1938  4.2     Nulo   34     13     
08/06/1938  1.2     Nulo   30     14.5   
09/06/1938  0       Nulo   30.5   17     
10/06/1938  0       Nulo   30.5   17     
11/06/1938  0       Nulo   30.5   16     
12/06/1938  0       Nulo   30.5   15.5   
13/06/1938  2       Nulo   30     15     
14/06/1938  0       Nulo   29     15     
15/06/1938  8       Nulo   30.5   16     
16/06/1938  0.2     Nulo   30.2   16     
17/06/1938  11.5    Nulo   26     15     
18/06/1938  4.2     Nulo   28     14     
19/06/1938  0       Nulo   28     15     
20/06/1938  3.5     Nulo   26.5   16     
21/06/1938  0       Nulo   23     16     
22/06/1938  2.2     Nulo   24     17     
23/06/1938  0       Nulo   26     17     
24/06/1938  23.9    Nulo   27     17     
25/06/1938  4.2     Nulo   28     16.5   
26/06/1938  7.5     Nulo   26     16.5   
27/06/1938  6.8     Nulo   23     16.5   
28/06/1938  31      Nulo   24     16     
29/06/1938  2.3     Nulo   24     16     
30/06/1938  3.4     Nulo   25     16     
01/07/1938  3.6     Nulo   26     16.5   
02/07/1938  4.5     Nulo   25.5   14     
03/07/1938  0       Nulo   26.5   15.5   
04/07/1938  0       Nulo   26.5   15.8   
05/07/1938  0       Nulo   28     14.5   
06/07/1938  9.3     Nulo   27.5   14.5   
07/07/1938  36.2    Nulo   25     15     
08/07/1938  1.3     Nulo   24     16     
09/07/1938  5.9     Nulo   25.5   16     
10/07/1938  8.7     Nulo   23.5   16.5   
11/07/1938  0       Nulo   26     16     
12/07/1938  1       Nulo   27     14     
13/07/1938  8.2     Nulo   28     14.5   
14/07/1938  16.8    Nulo   28     14.5   
15/07/1938  3.4     Nulo   27.5   14.5   
16/07/1938  5.3     Nulo   26     15     
17/07/1938  0       Nulo   28     14     
18/07/1938  13      Nulo   27.5   16     
19/07/1938  0       Nulo   28.5   13.5   
20/07/1938  4.5     Nulo   29     17     
21/07/1938  17.5    Nulo   29     13.5   
22/07/1938  6.3     Nulo   26     13     
23/07/1938  0       Nulo   27     15.5   
24/07/1938  0       Nulo   28     16     
25/07/1938  69.5    Nulo   27.5   16     
26/07/1938  7.5     Nulo   28     16     
27/07/1938  0       Nulo   25     15     
28/07/1938  19.5    Nulo   27     13     
29/07/1938  5.5     Nulo   27.5   13     
30/07/1938  0.4     Nulo   28     13     
31/07/1938  0       Nulo   27.5   15     
01/08/1938  0       Nulo   27.8   15     
02/08/1938  0       Nulo   28     15.3   
03/08/1938  15.8    Nulo   28.2   15.5   
04/08/1938  1       Nulo   28     16     
05/08/1938  14      Nulo   28.5   15     
06/08/1938  0       Nulo   25     15.3   
07/08/1938  14.5    Nulo   26     14     
08/08/1938  10.4    Nulo   26.5   14.7   
09/08/1938  0       Nulo   27     13.5   
10/08/1938  0       Nulo   27.5   15     
11/08/1938  0       Nulo   28     15.4   
12/08/1938  0       Nulo   28.1   13     
13/08/1938  0       Nulo   25.5   15     
14/08/1938  0       Nulo   28.5   15.5   
15/08/1938  10.2    Nulo   29     15     
16/08/1938  6       Nulo   27     15.5   
17/08/1938  0       Nulo   27.4   16     
18/08/1938  0       Nulo   28     14.5   
19/08/1938  17.5    Nulo   27.8   14     
20/08/1938  0.3     Nulo   28     14.4   
21/08/1938  3       Nulo   27     15     
22/08/1938  23.2    Nulo   28.5   14     
23/08/1938  0       Nulo   28     14.5   
24/08/1938  2.9     Nulo   28.2   13.5   
25/08/1938  0       Nulo   28     16     
26/08/1938  0       Nulo   27.3   15.3   
27/08/1938  0       Nulo   28.2   15.8   
28/08/1938  16      Nulo   29     16     
29/08/1938  19.7    Nulo   26     15.5   
30/08/1938  16.5    Nulo   27     16.6   
31/08/1938  6.6     Nulo   25.7   16     
01/09/1938  11.5    Nulo   27.5   16.2   
02/09/1938  3.5     Nulo   28.2   14.5   
03/09/1938  3.3     Nulo   27.2   15.5   
04/09/1938  0       Nulo   26.8   16.2   
05/09/1938  0.8     Nulo   27.5   16.5   
06/09/1938  13.9    Nulo   26.5   18     
07/09/1938  3.2     Nulo   27     17     
08/09/1938  4.7     Nulo   22.5   17.1   
09/09/1938  0.5     Nulo   26.1   15.8   
10/09/1938  0.2     Nulo   27.3   12     
11/09/1938  4.8     Nulo   27.8   Nulo   
12/09/1938  1.2     Nulo   26     16.2   
13/09/1938  0       Nulo   27     16.2   
14/09/1938  0       Nulo   22     14.3   
15/09/1938  0       Nulo   25.8   15     
16/09/1938  0       Nulo   27     13.5   
17/09/1938  0.9     Nulo   27.2   12.9   
18/09/1938  0       Nulo   28.5   13.5   
19/09/1938  0       Nulo   28     15     
20/09/1938  0       Nulo   27.2   15.8   
21/09/1938  0       Nulo   26     13     
22/09/1938  0       Nulo   26.2   11.5   
23/09/1938  0       Nulo   27.7   14     
24/09/1938  0       Nulo   26.8   14.3   
25/09/1938  0       Nulo   26.8   13.5   
26/09/1938  0       Nulo   27     12.3   
27/09/1938  0       Nulo   26     12     
28/09/1938  0       Nulo   27.8   12     
29/09/1938  0       Nulo   26     11.5   
30/09/1938  0       Nulo   25.8   7      
01/10/1938  0       Nulo   26.5   7.3    
02/10/1938  0       Nulo   25.5   7.2    
03/10/1938  0       Nulo   25.9   7.3    
04/10/1938  0       Nulo   26.5   7.1    
05/10/1938  0       Nulo   27.5   8      
06/10/1938  0       Nulo   27.6   7.8    
07/10/1938  0       Nulo   27.2   8.1    
08/10/1938  0       Nulo   28     11.1   
09/10/1938  0       Nulo   28     13.8   
10/10/1938  0       Nulo   29     11.5   
11/10/1938  0       Nulo   31.8   14     
12/10/1938  0       Nulo   28.2   12.8   
13/10/1938  0       Nulo   28.2   10.1   
14/10/1938  0       Nulo   28.2   9.1    
15/10/1938  0       Nulo   27.5   7.8    
16/10/1938  0       Nulo   26.5   6.5    
17/10/1938  0       Nulo   27     8.5    
18/10/1938  0       Nulo   28.5   8.8    
19/10/1938  0       Nulo   28.2   10.8   
20/10/1938  0       Nulo   27.9   13     
21/10/1938  12.2    Nulo   21.5   15     
22/10/1938  0       Nulo   23.3   13.8   
23/10/1938  0       Nulo   26.2   13.2   
24/10/1938  0       Nulo   26     11     
25/10/1938  0       Nulo   26.5   10     
26/10/1938  2.6     Nulo   27.5   10     
27/10/1938  0       Nulo   28     11     
28/10/1938  0       Nulo   26     11.3   
29/10/1938  0       Nulo   26.8   11.5   
30/10/1938  0       Nulo   25.5   11.2   
31/10/1938  0       Nulo   25     12     
01/11/1938  0       Nulo   26     10.8   
02/11/1938  2.7     Nulo   25.3   10.5   
03/11/1938  0       Nulo   25     9.8    
04/11/1938  0       Nulo   28     10     
05/11/1938  0       Nulo   28.1   9.7    
06/11/1938  0       Nulo   28.2   10.2   
07/11/1938  0       Nulo   28     8      
08/11/1938  1.8     Nulo   25.2   9.5    
09/11/1938  0       Nulo   26.5   11.7   
10/11/1938  0       Nulo   27.8   10     
11/11/1938  0       Nulo   28.5   10.2   
12/11/1938  0       Nulo   29     8.5    
13/11/1938  0       Nulo   30.3   8.2    
14/11/1938  0       Nulo   28.5   9      
15/11/1938  0       Nulo   26.5   10.2   
16/11/1938  0       Nulo   27.8   8      
17/11/1938  3.2     Nulo   28     10     
18/11/1938  0       Nulo   25.2   8.8    
19/11/1938  0       Nulo   24.2   7.8    
20/11/1938  1       Nulo   22     5      
21/11/1938  0       Nulo   22.8   7      
22/11/1938  1.2     Nulo   28.9   11.5   
23/11/1938  0       Nulo   28.8   11     
24/11/1938  0       Nulo   28.2   11.3   
25/11/1938  12.8    Nulo   19     11     
26/11/1938  1.5     Nulo   18     12     
27/11/1938  2.7     Nulo   20     13.5   
28/11/1938  0       Nulo   16.5   10.5   
29/11/1938  0       Nulo   22     10.5   
30/11/1938  0       Nulo   22.5   7.2    
01/12/1938  0       Nulo   25.2   6      
02/12/1938  0       Nulo   24.5   5.2    
03/12/1938  0       Nulo   25     3.5    
04/12/1938  0       Nulo   25     4.5    
05/12/1938  0       Nulo   23.5   7.5    
06/12/1938  0       Nulo   24     8      
07/12/1938  0       Nulo   26     8.2    
08/12/1938  0       Nulo   25.5   0      
09/12/1938  0       Nulo   23     0.5    
10/12/1938  0       Nulo   23.8   0      
11/12/1938  0       Nulo   24.5   0.2    
12/12/1938  0       Nulo   23.8   1.8    
13/12/1938  0       Nulo   24.5   2      
14/12/1938  0       Nulo   23.5   3.8    
15/12/1938  0       Nulo   23     2.5    
16/12/1938  0       Nulo   25.5   3.3    
17/12/1938  0       Nulo   26     Nulo   
18/12/1938  0       Nulo   25.8   3.2    
19/12/1938  0       Nulo   26.5   3.5    
20/12/1938  0       Nulo   26     5.8    
21/12/1938  0       Nulo   25.8   5.5    
22/12/1938  0       Nulo   24.5   5      
23/12/1938  0       Nulo   24.3   4      
24/12/1938  0       Nulo   26.5   7      
25/12/1938  0       Nulo   21.2   8.8    
26/12/1938  0       Nulo   25     7.8    
27/12/1938  0       Nulo   27     Nulo   
28/12/1938  0       Nulo   22     8.8    
29/12/1938  0       Nulo   24     5.5    
30/12/1938  0       Nulo   24.5   6      
31/12/1938  0       Nulo   25     4      
01/01/1939  0       Nulo   25     4.2    
02/01/1939  0       Nulo   24.5   4      
03/01/1939  0       Nulo   24.2   4.2    
04/01/1939  0       Nulo   23.5   2.6    
05/01/1939  0       Nulo   25.4   2.5    
06/01/1939  0       Nulo   25     1      
07/01/1939  0       Nulo   26     4.8    
08/01/1939  0       Nulo   25     4      
09/01/1939  0       Nulo   26     2.8    
10/01/1939  0       Nulo   26.2   2.5    
11/01/1939  0       Nulo   24     3      
12/01/1939  2       Nulo   22.8   10     
13/01/1939  0       Nulo   23.2   4.8    
14/01/1939  0       Nulo   23.2   2      
15/01/1939  0       Nulo   24     2      
16/01/1939  0       Nulo   26     Nulo   
17/01/1939  0       Nulo   25.5   4      
18/01/1939  0       Nulo   27.8   3.8    
19/01/1939  0       Nulo   26.5   3.8    
20/01/1939  0       Nulo   27.8   5      
21/01/1939  0       Nulo   28     5.2    
22/01/1939  0       Nulo   27.5   6.5    
23/01/1939  0       Nulo   29     6.5    
24/01/1939  0       Nulo   27.8   5.5    
25/01/1939  0       Nulo   26     6.5    
26/01/1939  0       Nulo   26.2   6.2    
27/01/1939  0       Nulo   25     6.5    
