CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 21176
NOMBRE    : TONAHUIXTLA
ESTADO    : PUEBLA
MUNICIPIO : SAN JERONIMO XAYACATLAN
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.185°
LONGITUD  : -97.92°
ALTITUD   : 1441 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/08/1979  0       Nulo   Nulo   Nulo   
02/08/1979  0       Nulo   Nulo   Nulo   
03/08/1979  0       Nulo   Nulo   Nulo   
04/08/1979  0       Nulo   Nulo   Nulo   
05/08/1979  0       Nulo   Nulo   Nulo   
06/08/1979  0       Nulo   Nulo   Nulo   
07/08/1979  0       Nulo   Nulo   Nulo   
08/08/1979  0       Nulo   Nulo   Nulo   
09/08/1979  0       Nulo   Nulo   Nulo   
10/08/1979  0       Nulo   Nulo   Nulo   
11/08/1979  0       Nulo   Nulo   Nulo   
12/08/1979  0       Nulo   Nulo   Nulo   
13/08/1979  0       Nulo   Nulo   Nulo   
14/08/1979  0       Nulo   Nulo   Nulo   
15/08/1979  0       Nulo   Nulo   Nulo   
16/08/1979  0       Nulo   Nulo   Nulo   
17/08/1979  0       Nulo   Nulo   Nulo   
18/08/1979  0       Nulo   Nulo   Nulo   
19/08/1979  0.5     Nulo   Nulo   Nulo   
20/08/1979  0       Nulo   Nulo   Nulo   
21/08/1979  11.2    Nulo   Nulo   Nulo   
22/08/1979  0       Nulo   Nulo   Nulo   
23/08/1979  0       Nulo   Nulo   Nulo   
24/08/1979  0       Nulo   Nulo   Nulo   
25/08/1979  0       Nulo   Nulo   Nulo   
26/08/1979  0       Nulo   Nulo   Nulo   
27/08/1979  16.3    Nulo   Nulo   Nulo   
28/08/1979  28.6    Nulo   Nulo   Nulo   
29/08/1979  0       Nulo   Nulo   Nulo   
30/08/1979  0       Nulo   Nulo   Nulo   
31/08/1979  0       Nulo   Nulo   Nulo   
01/09/1979  0       Nulo   Nulo   Nulo   
02/09/1979  0       Nulo   Nulo   Nulo   
03/09/1979  0       Nulo   Nulo   Nulo   
04/09/1979  0       Nulo   Nulo   Nulo   
05/09/1979  0       Nulo   Nulo   Nulo   
06/09/1979  1.5     Nulo   Nulo   Nulo   
07/09/1979  8.4     Nulo   Nulo   Nulo   
08/09/1979  16.8    Nulo   Nulo   Nulo   
09/09/1979  10.9    Nulo   Nulo   Nulo   
10/09/1979  0       Nulo   Nulo   Nulo   
11/09/1979  24.1    Nulo   Nulo   Nulo   
12/09/1979  32.8    Nulo   Nulo   Nulo   
13/09/1979  0       Nulo   Nulo   Nulo   
14/09/1979  0       Nulo   Nulo   Nulo   
15/09/1979  0       Nulo   Nulo   Nulo   
16/09/1979  5.3     Nulo   Nulo   Nulo   
17/09/1979  0       Nulo   Nulo   Nulo   
18/09/1979  10.7    Nulo   Nulo   Nulo   
19/09/1979  18.9    Nulo   Nulo   Nulo   
20/09/1979  10.3    Nulo   Nulo   Nulo   
21/09/1979  5.2     Nulo   Nulo   Nulo   
22/09/1979  0       Nulo   Nulo   Nulo   
23/09/1979  0       Nulo   Nulo   Nulo   
24/09/1979  0       Nulo   Nulo   Nulo   
25/09/1979  0       Nulo   Nulo   Nulo   
26/09/1979  0       Nulo   Nulo   Nulo   
27/09/1979  0       Nulo   Nulo   Nulo   
28/09/1979  0       Nulo   Nulo   Nulo   
29/09/1979  0       Nulo   Nulo   Nulo   
30/09/1979  0       Nulo   Nulo   Nulo   
01/10/1979  0       Nulo   Nulo   Nulo   
02/10/1979  0       Nulo   Nulo   Nulo   
03/10/1979  0       Nulo   Nulo   Nulo   
04/10/1979  0       Nulo   Nulo   Nulo   
05/10/1979  0       Nulo   Nulo   Nulo   
06/10/1979  0       Nulo   Nulo   Nulo   
07/10/1979  0       Nulo   Nulo   Nulo   
08/10/1979  0       Nulo   Nulo   Nulo   
09/10/1979  0       Nulo   Nulo   Nulo   
10/10/1979  0       Nulo   Nulo   Nulo   
11/10/1979  0       Nulo   Nulo   Nulo   
12/10/1979  0       Nulo   Nulo   Nulo   
13/10/1979  0       Nulo   Nulo   Nulo   
14/10/1979  0       Nulo   Nulo   Nulo   
15/10/1979  0       Nulo   Nulo   Nulo   
16/10/1979  0       Nulo   Nulo   Nulo   
17/10/1979  0       Nulo   Nulo   Nulo   
18/10/1979  0       Nulo   Nulo   Nulo   
19/10/1979  0       Nulo   Nulo   Nulo   
20/10/1979  0       Nulo   Nulo   Nulo   
21/10/1979  0       Nulo   Nulo   Nulo   
22/10/1979  0       Nulo   Nulo   Nulo   
23/10/1979  0       Nulo   Nulo   Nulo   
24/10/1979  0       Nulo   Nulo   Nulo   
25/10/1979  4.2     Nulo   Nulo   Nulo   
26/10/1979  0       Nulo   Nulo   Nulo   
27/10/1979  0       Nulo   Nulo   Nulo   
28/10/1979  0       Nulo   Nulo   Nulo   
29/10/1979  0       Nulo   Nulo   Nulo   
30/10/1979  0       Nulo   Nulo   Nulo   
31/10/1979  0       Nulo   Nulo   Nulo   
01/11/1979  0       Nulo   Nulo   Nulo   
02/11/1979  0       Nulo   Nulo   Nulo   
03/11/1979  0       Nulo   Nulo   Nulo   
04/11/1979  0       Nulo   Nulo   Nulo   
05/11/1979  0       Nulo   Nulo   Nulo   
06/11/1979  0       Nulo   Nulo   Nulo   
07/11/1979  0       Nulo   Nulo   Nulo   
08/11/1979  0       Nulo   Nulo   Nulo   
09/11/1979  0       Nulo   Nulo   Nulo   
10/11/1979  0       Nulo   Nulo   Nulo   
