CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 20459
NOMBRE    : ZIMATAN
ESTADO    : OAXACA
MUNICIPIO : SAN PEDRO HUAMELULA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 015.847°
LONGITUD  : -95.999°
ALTITUD   : 37 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
06/10/1983  0       Nulo   25     Nulo   
07/10/1983  0       3.3    26     10     
08/10/1983  0       6.5    28     11     
09/10/1983  0       4.6    27     12     
10/10/1983  0       8.5    26     10     
11/10/1983  0       4.6    29     10     
12/10/1983  32      8      27     12     
13/10/1983  0       7.3    22     10.5   
14/10/1983  0       3.7    25     11     
15/10/1983  0       4.4    25     9      
16/10/1983  0       5.1    27     11     
17/10/1983  0       3      26.5   12     
18/10/1983  18      4.5    28     12.5   
19/10/1983  5       4.3    28.5   11     
20/10/1983  0       5.2    28     13     
21/10/1983  0       6.1    26     11     
22/10/1983  0       2.8    24     10     
23/10/1983  0       3.8    27     10.5   
24/10/1983  4       2.7    28.5   11     
25/10/1983  0       3.6    23.5   11.5   
26/10/1983  0       3.4    22     10     
27/10/1983  0       4.9    21     7      
28/10/1983  0       4      24     8      
29/10/1983  0       4.6    25     10     
30/10/1983  0       2.8    28     10     
31/10/1983  0       3.6    26     11.5   
01/11/1983  0       3.8    25     10     
02/11/1983  0       3.7    19     11     
03/11/1983  0       5      24     10     
04/11/1983  0       3.6    26     10.5   
05/11/1983  3       6.4    24     11     
06/11/1983  0       2.6    28     10.5   
07/11/1983  0       2.2    28.5   11     
08/11/1983  0       3.4    26     13     
09/11/1983  4       7.4    25     12     
10/11/1983  0       3.1    21     12.5   
11/11/1983  0       2      26     8      
12/11/1983  0       1.9    22     10     
13/11/1983  0       3.7    23     11     
14/11/1983  0       5.8    24.5   10.5   
15/11/1983  0       7.8    28     11.5   
16/11/1983  0       4.6    29     10     
17/11/1983  0       4.6    26     8      
18/11/1983  0       4.1    29     10     
19/11/1983  0       4.1    28.5   11.5   
20/11/1983  0       6      29     9      
21/11/1983  0       3.5    30     10     
22/11/1983  0       5.9    29.5   10.5   
23/11/1983  0       3.8    28     11     
24/11/1983  0       4.3    30     10.5   
25/11/1983  0       4.5    29.5   11     
26/11/1983  0       2.7    29     11     
27/11/1983  0       4      30     10     
28/11/1983  0       3.4    29     11.5   
29/11/1983  0       4.1    27     9.5    
30/11/1983  0       4.1    29     11     
01/12/1983  0       3.1    30     9      
02/12/1983  0       3.9    29.5   10     
03/12/1983  0       4.7    29     9      
04/12/1983  0       4.5    28     8      
05/12/1983  0       6.2    29     10     
06/12/1983  0       3.6    27     11.5   
07/12/1983  0       5.5    29     9.5    
08/12/1983  0       4.6    28.5   11     
09/12/1983  0       5.4    27.5   10.5   
10/12/1983  0       3.9    28.5   8      
11/12/1983  0       3.6    30     10     
12/12/1983  0       6.4    29     11.5   
13/12/1983  0       6.1    28     11     
14/12/1983  0       4.6    27     9      
15/12/1983  0       2.4    29     7      
16/12/1983  0       4.3    28     7      
17/12/1983  0       3.2    29     8      
18/12/1983  0       2.3    28.5   8.5    
19/12/1983  0       4.1    27     9      
20/12/1983  0       3.2    29     10     
21/12/1983  0       4.5    28     9      
22/12/1983  0       5.5    28.5   9      
23/12/1983  0       5.8    28     8.5    
24/12/1983  0       4.2    27     10     
25/12/1983  0       2.7    29     12     
26/12/1983  0       4.3    28.5   8      
27/12/1983  0       2.4    26     10     
28/12/1983  0       6.1    29     8      
29/12/1983  0       4.6    26     9.5    
30/12/1983  0       3.1    25     7      
31/12/1983  0       5.9    26.5   6      
01/02/1984  0       2.5    28     8      
02/02/1984  0       2.6    25     9      
03/02/1984  4       4.9    29     11     
04/02/1984  31      6.1    28     10.5   
05/02/1984  0       3.3    24     11.5   
06/02/1984  0       3.8    27     8      
07/02/1984  0       6.4    27     8.5    
08/02/1984  0       1.1    29     9      
09/02/1984  0       1.2    28     11     
10/02/1984  0       1.6    27     12     
11/02/1984  0       1.1    28     9.5    
12/02/1984  0       6.2    29     10     
13/02/1984  0       6.6    30     11     
14/02/1984  0       4.4    29     10     
15/02/1984  0       4.6    30     11     
16/02/1984  0       2.8    28     11.5   
17/02/1984  0       4.4    30     10     
18/02/1984  0       2.8    27     11     
19/02/1984  0       1.9    30     10     
20/02/1984  0       1.7    30     7      
21/02/1984  0       7.8    28     10     
22/02/1984  0       3.6    30     9      
23/02/1984  0       5.5    29     12     
24/02/1984  0       2.8    31     12     
25/02/1984  0       4.2    29     13     
26/02/1984  0       5.1    30     10     
27/02/1984  0       4.2    29     12     
28/02/1984  0       4.6    30     10     
29/02/1984  0       2.9    28     8      
01/03/1984  0       6.4    27     7      
02/03/1984  0       5.6    30     8      
03/03/1984  0       6.3    29     10     
04/03/1984  0       8.2    30.5   9      
05/03/1984  0       6.1    29     10     
06/03/1984  0       5.4    32     10.5   
07/03/1984  0       7.9    30     8      
08/03/1984  0       8.8    31     8.5    
09/03/1984  0       6.7    31.5   8      
10/03/1984  0       8.3    29     12     
11/03/1984  0       5.5    32     13     
12/03/1984  0       6.8    29     8      
13/03/1984  0       7      30.5   7      
14/03/1984  0       8.9    31     10     
15/03/1984  0       10.1   30     10.5   
16/03/1984  0       9.4    29     10.5   
17/03/1984  0       3.7    30     10     
18/03/1984  0       8.5    28.5   9      
19/03/1984  0       7.3    31.5   10     
20/03/1984  0       8.5    31     12.5   
21/03/1984  0       9.2    30     9      
22/03/1984  0       12     29     10     
23/03/1984  0       8.5    30     8      
24/03/1984  0       11.8   29     9      
25/03/1984  0       4.1    31     7.5    
26/03/1984  0       5.6    33     9      
27/03/1984  0       2.5    31     10     
28/03/1984  0       9.1    28.5   9.5    
29/03/1984  0       7.8    29     7      
30/03/1984  0       8.6    30     10     
31/03/1984  0       4.3    32.5   9      
01/04/1984  0       5.9    39     10     
02/04/1984  0       6.3    32     10.5   
03/04/1984  0       4      31     10     
04/04/1984  0       6      34     9      
05/04/1984  0       5.4    33.5   9.5    
06/04/1984  0       5.4    34     10.5   
07/04/1984  0       5.5    33     11     
08/04/1984  0       9      34     10.5   
09/04/1984  0       10     33     11.5   
10/04/1984  0       11.7   32     9      
11/04/1984  0       9      31.5   10     
12/04/1984  0       10     34     9.5    
13/04/1984  0       8.3    35     10     
14/04/1984  0       3.8    34     9      
15/04/1984  0       8.5    30     10     
16/04/1984  0       13.3   29     8.5    
17/04/1984  0       10.7   32     10     
18/04/1984  0       11.6   29.5   11.5   
19/04/1984  0       7.6    28     9      
20/04/1984  0       8      29.5   8.5    
21/04/1984  0       5.7    31.5   10.5   
22/04/1984  0       7.3    30.5   9      
23/04/1984  0       4      34     8.5    
24/04/1984  0       7.3    32     9      
25/04/1984  0       8      34     12     
26/04/1984  0       8.9    36     13.5   
27/04/1984  0       9.3    32.5   13     
28/04/1984  0       6      35     11     
29/04/1984  0       7.6    34     12.5   
30/04/1984  0       5.4    32     13     
01/05/1984  0       4.3    34     13     
02/05/1984  0       11.8   35     12     
03/05/1984  0       8.6    34     12     
04/05/1984  0       8.7    35     11     
05/05/1984  0       9      33     12     
06/05/1984  6       9.5    34     11     
07/05/1984  0       7.4    31     12     
08/05/1984  0       5.6    32     10     
09/05/1984  0       5.1    26     11     
10/05/1984  0       5.5    30     10     
11/05/1984  0       6.7    29     9      
12/05/1984  0       6.7    27     9      
13/05/1984  15      5.5    28     11     
14/05/1984  9       11.2   28     11     
15/05/1984  0       8.6    29     10     
16/05/1984  0       5.9    31     9      
17/05/1984  0       9      29     10     
18/05/1984  9       11.9   29     10     
19/05/1984  0       7.8    30     9      
20/05/1984  0       8      28     10     
21/05/1984  10      6.6    30     11     
22/05/1984  0       6.3    30     11     
23/05/1984  0       3.4    29     10     
24/05/1984  9       5.4    30     9      
25/05/1984  0       4.8    31     10     
26/05/1984  0       3      31     11     
27/05/1984  0       1.2    31     8      
28/05/1984  0       1      31     9      
29/05/1984  0       1.5    30     9      
30/05/1984  8       3.9    31     8      
31/05/1984  0       2.9    31     7      
01/06/1984  Nulo    5.3    26     9      
02/06/1984  Nulo    2.2    29     10     
03/06/1984  Nulo    3.1    28     11     
04/06/1984  Nulo    2.2    29     12     
05/06/1984  Nulo    2.3    30     11     
06/06/1984  Nulo    4.5    29     10     
07/06/1984  Nulo    1.1    29     11     
08/06/1984  Nulo    9.1    27     13     
09/06/1984  Nulo    6.2    26     12     
10/06/1984  Nulo    9.8    29     11     
11/06/1984  Nulo    5.4    26     12     
12/06/1984  Nulo    7.5    29     12     
13/06/1984  Nulo    7.7    28     10     
14/06/1984  Nulo    6.1    30     10     
15/06/1984  Nulo    7.3    29     11     
16/06/1984  Nulo    3.6    31     9      
17/06/1984  Nulo    3.6    27     10     
18/06/1984  Nulo    4.7    28     11     
19/06/1984  Nulo    5.2    30     11     
20/06/1984  Nulo    5.1    27     10     
21/06/1984  Nulo    4.8    26     12     
22/06/1984  Nulo    4.2    28     12     
23/06/1984  Nulo    2.1    29     11     
24/06/1984  Nulo    6.2    29     12     
25/06/1984  Nulo    3.4    30     10     
26/06/1984  Nulo    5.3    30     11     
27/06/1984  Nulo    3      31     10     
28/06/1984  Nulo    4.4    29     11     
29/06/1984  Nulo    3.8    30     11     
30/06/1984  Nulo    4.8    29     11     
01/07/1984  0       3.3    28     12     
02/07/1984  37      6.8    30     12     
03/07/1984  10      3.3    29     11     
04/07/1984  0       4.6    28     11     
05/07/1984  26      6.6    27     10     
06/07/1984  0       4.3    24     12     
07/07/1984  7       4.1    28     11     
08/07/1984  0       3.3    30     10     
09/07/1984  0       5.1    31     11     
10/07/1984  6       4.7    30     12     
11/07/1984  9       6.9    29     11     
12/07/1984  11      6.4    30     11     
13/07/1984  0       5.4    28     12     
14/07/1984  0       4.4    26     10     
15/07/1984  0       3.2    24     11     
16/07/1984  0       5.7    30     9      
17/07/1984  0       4.2    28     9      
18/07/1984  0       4.7    29     9      
19/07/1984  0       4.3    30     10     
20/07/1984  0       3.6    31     10     
21/07/1984  0       4.5    28     10     
22/07/1984  0       4.2    29     9      
23/07/1984  0       3.4    27     10     
24/07/1984  0       5.7    31     11     
25/07/1984  0       4.2    28     9      
26/07/1984  0       6.4    27     11     
27/07/1984  0       5.6    29     12     
28/07/1984  0       6.1    31     12     
29/07/1984  0       6.7    28     9      
30/07/1984  0       4.9    29     10     
31/07/1984  9       6.8    28     11     
01/08/1984  0       4.9    29     11     
02/08/1984  0       5.1    27     10     
03/08/1984  0       3.1    31     11     
04/08/1984  20      7.2    28     12     
05/08/1984  29      7.9    29     8      
06/08/1984  0       3.9    28     12     
07/08/1984  0       2.8    30     8      
08/08/1984  0       4.3    29     10     
09/08/1984  6       3.7    31     11     
10/08/1984  0       8      29     9      
11/08/1984  0       8.7    31     10     
12/08/1984  0       7.7    28     10     
13/08/1984  0       8.1    28     10     
14/08/1984  0       8      29     10     
15/08/1984  29      5.8    27     11     
16/08/1984  0       4.1    28     12     
17/08/1984  0       5.2    20     9      
18/08/1984  23      7.4    29     10     
19/08/1984  0       3.9    29     11     
20/08/1984  6       4.1    30     10     
21/08/1984  5       4.3    29     10     
22/08/1984  3       3.3    31     11     
23/08/1984  0       7.4    28     9      
24/08/1984  0       4.3    29     8      
25/08/1984  0       4.7    31     9      
26/08/1984  0       4.3    27     11     
27/08/1984  0       4.8    31     11     
28/08/1984  0       5.2    29     11     
29/08/1984  0       2.2    28     9      
30/08/1984  0       3.8    28     10     
31/08/1984  0       1.9    29     11     
01/09/1984  0       4.4    31     11     
