CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 15300
NOMBRE    : SANTA MARTHA E-29
ESTADO    : MEXICO
MUNICIPIO : Ocuilan
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.06°
LONGITUD  : -99.381°
ALTITUD   : 3060 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/06/1978  3       Nulo   Nulo   Nulo   
02/06/1978  0       Nulo   Nulo   Nulo   
03/06/1978  22      Nulo   Nulo   Nulo   
04/06/1978  18      Nulo   Nulo   Nulo   
05/06/1978  30      Nulo   Nulo   Nulo   
06/06/1978  12      Nulo   Nulo   Nulo   
07/06/1978  3       Nulo   Nulo   Nulo   
08/06/1978  38      Nulo   Nulo   Nulo   
09/06/1978  0       Nulo   Nulo   Nulo   
10/06/1978  20      Nulo   Nulo   Nulo   
11/06/1978  22      Nulo   Nulo   Nulo   
12/06/1978  7       Nulo   Nulo   Nulo   
13/06/1978  5       Nulo   Nulo   Nulo   
14/06/1978  15      Nulo   Nulo   Nulo   
15/06/1978  3       Nulo   Nulo   Nulo   
16/06/1978  0       Nulo   Nulo   Nulo   
17/06/1978  10      Nulo   Nulo   Nulo   
18/06/1978  23      Nulo   Nulo   Nulo   
19/06/1978  0       Nulo   Nulo   Nulo   
20/06/1978  5       Nulo   Nulo   Nulo   
21/06/1978  10      Nulo   Nulo   Nulo   
22/06/1978  3       Nulo   Nulo   Nulo   
23/06/1978  0       Nulo   Nulo   Nulo   
24/06/1978  8       Nulo   Nulo   Nulo   
25/06/1978  20      Nulo   Nulo   Nulo   
26/06/1978  15      Nulo   Nulo   Nulo   
27/06/1978  20      Nulo   Nulo   Nulo   
28/06/1978  5       Nulo   Nulo   Nulo   
29/06/1978  7       Nulo   Nulo   Nulo   
30/06/1978  3       Nulo   Nulo   Nulo   
01/07/1978  0       Nulo   Nulo   Nulo   
02/07/1978  3       Nulo   Nulo   Nulo   
03/07/1978  15      Nulo   Nulo   Nulo   
04/07/1978  3       Nulo   Nulo   Nulo   
05/07/1978  30      Nulo   Nulo   Nulo   
06/07/1978  0       Nulo   Nulo   Nulo   
07/07/1978  2       Nulo   Nulo   Nulo   
08/07/1978  0       Nulo   Nulo   Nulo   
09/07/1978  2       Nulo   Nulo   Nulo   
10/07/1978  0       Nulo   Nulo   Nulo   
11/07/1978  20      Nulo   Nulo   Nulo   
12/07/1978  20      Nulo   Nulo   Nulo   
13/07/1978  5       Nulo   Nulo   Nulo   
14/07/1978  0       Nulo   Nulo   Nulo   
01/08/1978  0       Nulo   Nulo   Nulo   
02/08/1978  0       Nulo   Nulo   Nulo   
03/08/1978  0       Nulo   Nulo   Nulo   
04/08/1978  0       Nulo   Nulo   Nulo   
05/08/1978  0       Nulo   Nulo   Nulo   
