CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 7045
NOMBRE    : EL DORADO
ESTADO    : CHIAPAS
MUNICIPIO : SUCHIATE
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 014.673°
LONGITUD  : -92.213°
ALTITUD   : 35 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
13/07/1951  2.5     Nulo   Nulo   Nulo   
14/07/1951  3       Nulo   Nulo   Nulo   
15/07/1951  4       Nulo   Nulo   Nulo   
16/07/1951  6       Nulo   Nulo   Nulo   
17/07/1951  16      Nulo   Nulo   Nulo   
18/07/1951  0       Nulo   Nulo   Nulo   
19/07/1951  0       Nulo   Nulo   Nulo   
20/07/1951  0       Nulo   Nulo   Nulo   
21/07/1951  0       Nulo   Nulo   Nulo   
22/07/1951  0       Nulo   Nulo   Nulo   
23/07/1951  2.5     Nulo   Nulo   Nulo   
24/07/1951  0       Nulo   Nulo   Nulo   
25/07/1951  7       Nulo   Nulo   Nulo   
26/07/1951  0       Nulo   Nulo   Nulo   
27/07/1951  0       Nulo   Nulo   Nulo   
28/07/1951  28.5    Nulo   Nulo   Nulo   
29/07/1951  11.5    Nulo   Nulo   Nulo   
30/07/1951  0       Nulo   Nulo   Nulo   
31/07/1951  0       Nulo   Nulo   Nulo   
01/08/1951  0       Nulo   Nulo   Nulo   
02/08/1951  0       Nulo   Nulo   Nulo   
03/08/1951  0       Nulo   Nulo   Nulo   
04/08/1951  0       Nulo   Nulo   Nulo   
05/08/1951  9.5     Nulo   Nulo   Nulo   
06/08/1951  0       Nulo   Nulo   Nulo   
07/08/1951  0       Nulo   Nulo   Nulo   
08/08/1951  0       Nulo   Nulo   Nulo   
09/08/1951  0       Nulo   Nulo   Nulo   
10/08/1951  0       Nulo   Nulo   Nulo   
11/08/1951  0       Nulo   Nulo   Nulo   
12/08/1951  5.5     Nulo   Nulo   Nulo   
13/08/1951  5       Nulo   Nulo   Nulo   
14/08/1951  10      Nulo   Nulo   Nulo   
15/08/1951  8       Nulo   Nulo   Nulo   
16/08/1951  5       Nulo   Nulo   Nulo   
17/08/1951  1       Nulo   Nulo   Nulo   
18/08/1951  0       Nulo   Nulo   Nulo   
19/08/1951  6       Nulo   Nulo   Nulo   
20/08/1951  0       Nulo   Nulo   Nulo   
21/08/1951  7.5     Nulo   Nulo   Nulo   
22/08/1951  0       Nulo   Nulo   Nulo   
23/08/1951  15      Nulo   Nulo   Nulo   
24/08/1951  0       Nulo   Nulo   Nulo   
25/08/1951  1.5     Nulo   Nulo   Nulo   
26/08/1951  0       Nulo   Nulo   Nulo   
27/08/1951  0       Nulo   Nulo   Nulo   
28/08/1951  0       Nulo   Nulo   Nulo   
29/08/1951  1.5     Nulo   Nulo   Nulo   
30/08/1951  0       Nulo   Nulo   Nulo   
31/08/1951  5.5     Nulo   Nulo   Nulo   
01/09/1951  0       Nulo   Nulo   Nulo   
02/09/1951  11      Nulo   Nulo   Nulo   
03/09/1951  0       Nulo   Nulo   Nulo   
04/09/1951  2       Nulo   Nulo   Nulo   
05/09/1951  1       Nulo   Nulo   Nulo   
06/09/1951  15      Nulo   Nulo   Nulo   
07/09/1951  1.2     Nulo   Nulo   Nulo   
08/09/1951  6.6     Nulo   Nulo   Nulo   
09/09/1951  5       Nulo   Nulo   Nulo   
10/09/1951  1.7     Nulo   Nulo   Nulo   
11/09/1951  7.5     Nulo   Nulo   Nulo   
12/09/1951  0       Nulo   Nulo   Nulo   
13/09/1951  0       Nulo   Nulo   Nulo   
14/09/1951  0       Nulo   Nulo   Nulo   
15/09/1951  110.5   Nulo   Nulo   Nulo   
16/09/1951  2       Nulo   Nulo   Nulo   
17/09/1951  0       Nulo   Nulo   Nulo   
18/09/1951  2.5     Nulo   Nulo   Nulo   
19/09/1951  2.3     Nulo   Nulo   Nulo   
20/09/1951  0       Nulo   Nulo   Nulo   
21/09/1951  2.8     Nulo   Nulo   Nulo   
22/09/1951  7       Nulo   Nulo   Nulo   
23/09/1951  18.5    Nulo   Nulo   Nulo   
24/09/1951  3       Nulo   Nulo   Nulo   
25/09/1951  4       Nulo   Nulo   Nulo   
26/09/1951  1.5     Nulo   Nulo   Nulo   
27/09/1951  1       Nulo   Nulo   Nulo   
28/09/1951  0       Nulo   Nulo   Nulo   
29/09/1951  5       Nulo   Nulo   Nulo   
30/09/1951  5       Nulo   Nulo   Nulo   
01/10/1951  0       Nulo   Nulo   Nulo   
02/10/1951  1       Nulo   Nulo   Nulo   
03/10/1951  1       Nulo   Nulo   Nulo   
04/10/1951  3       Nulo   Nulo   Nulo   
05/10/1951  1.1     Nulo   Nulo   Nulo   
06/10/1951  6       Nulo   Nulo   Nulo   
07/10/1951  0       Nulo   Nulo   Nulo   
08/10/1951  2       Nulo   Nulo   Nulo   
09/10/1951  0       Nulo   Nulo   Nulo   
10/10/1951  0       Nulo   Nulo   Nulo   
11/10/1951  0       Nulo   Nulo   Nulo   
12/10/1951  13      Nulo   Nulo   Nulo   
13/10/1951  0       Nulo   Nulo   Nulo   
14/10/1951  0       Nulo   Nulo   Nulo   
15/10/1951  0       Nulo   Nulo   Nulo   
16/10/1951  0       Nulo   Nulo   Nulo   
17/10/1951  0       Nulo   Nulo   Nulo   
18/10/1951  12      Nulo   Nulo   Nulo   
19/10/1951  12.5    Nulo   Nulo   Nulo   
20/10/1951  0       Nulo   Nulo   Nulo   
21/10/1951  0       Nulo   Nulo   Nulo   
22/10/1951  0       Nulo   Nulo   Nulo   
23/10/1951  0       Nulo   Nulo   Nulo   
24/10/1951  0       Nulo   Nulo   Nulo   
25/10/1951  0       Nulo   Nulo   Nulo   
26/10/1951  0       Nulo   Nulo   Nulo   
27/10/1951  0       Nulo   Nulo   Nulo   
28/10/1951  0       Nulo   Nulo   Nulo   
29/10/1951  0       Nulo   Nulo   Nulo   
30/10/1951  0       Nulo   Nulo   Nulo   
31/10/1951  0       Nulo   Nulo   Nulo   
01/11/1951  8       Nulo   Nulo   Nulo   
02/11/1951  0       Nulo   Nulo   Nulo   
03/11/1951  0       Nulo   Nulo   Nulo   
04/11/1951  0       Nulo   Nulo   Nulo   
05/11/1951  0       Nulo   Nulo   Nulo   
06/11/1951  0       Nulo   Nulo   Nulo   
07/11/1951  0       Nulo   Nulo   Nulo   
08/11/1951  0       Nulo   Nulo   Nulo   
09/11/1951  0       Nulo   Nulo   Nulo   
10/11/1951  0       Nulo   Nulo   Nulo   
11/11/1951  0       Nulo   Nulo   Nulo   
12/11/1951  0       Nulo   Nulo   Nulo   
13/11/1951  0       Nulo   Nulo   Nulo   
14/11/1951  1.8     Nulo   Nulo   Nulo   
15/11/1951  0       Nulo   Nulo   Nulo   
16/11/1951  0       Nulo   Nulo   Nulo   
17/11/1951  0       Nulo   Nulo   Nulo   
18/11/1951  0       Nulo   Nulo   Nulo   
19/11/1951  0       Nulo   Nulo   Nulo   
20/11/1951  0       Nulo   Nulo   Nulo   
21/11/1951  0       Nulo   Nulo   Nulo   
22/11/1951  0       Nulo   Nulo   Nulo   
23/11/1951  0       Nulo   Nulo   Nulo   
24/11/1951  0       Nulo   Nulo   Nulo   
25/11/1951  0       Nulo   Nulo   Nulo   
26/11/1951  0       Nulo   Nulo   Nulo   
27/11/1951  0       Nulo   Nulo   Nulo   
28/11/1951  0       Nulo   Nulo   Nulo   
29/11/1951  0       Nulo   Nulo   Nulo   
30/11/1951  0       Nulo   Nulo   Nulo   
01/12/1951  0       Nulo   Nulo   Nulo   
02/12/1951  0       Nulo   Nulo   Nulo   
03/12/1951  0       Nulo   Nulo   Nulo   
04/12/1951  0       Nulo   Nulo   Nulo   
05/12/1951  0       Nulo   Nulo   Nulo   
06/12/1951  0       Nulo   Nulo   Nulo   
07/12/1951  0       Nulo   Nulo   Nulo   
08/12/1951  0       Nulo   Nulo   Nulo   
09/12/1951  0       Nulo   Nulo   Nulo   
10/12/1951  0       Nulo   Nulo   Nulo   
11/12/1951  0       Nulo   Nulo   Nulo   
12/12/1951  0       Nulo   Nulo   Nulo   
13/12/1951  0       Nulo   Nulo   Nulo   
14/12/1951  0       Nulo   Nulo   Nulo   
15/12/1951  0       Nulo   Nulo   Nulo   
16/12/1951  0       Nulo   Nulo   Nulo   
17/12/1951  0       Nulo   Nulo   Nulo   
18/12/1951  0       Nulo   Nulo   Nulo   
19/12/1951  0       Nulo   Nulo   Nulo   
20/12/1951  0       Nulo   Nulo   Nulo   
21/12/1951  0       Nulo   Nulo   Nulo   
22/12/1951  0       Nulo   Nulo   Nulo   
23/12/1951  0       Nulo   Nulo   Nulo   
24/12/1951  0       Nulo   Nulo   Nulo   
25/12/1951  0       Nulo   Nulo   Nulo   
26/12/1951  0       Nulo   Nulo   Nulo   
27/12/1951  0       Nulo   Nulo   Nulo   
28/12/1951  0       Nulo   Nulo   Nulo   
29/12/1951  0       Nulo   Nulo   Nulo   
