CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 10144
NOMBRE    : EL MIRADOR
ESTADO    : DURANGO
MUNICIPIO : HIDALGO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 026.127°
LONGITUD  : -105.018°
ALTITUD   : 1880 msnm

EMISIÓN   : 08/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/02/1979  0       Nulo   21     -1     
02/02/1979  0       Nulo   19     2      
03/02/1979  0       Nulo   18     6      
04/02/1979  6.5     Nulo   16     3      
05/02/1979  0       Nulo   15     -5     
06/02/1979  0       Nulo   14     -4     
07/02/1979  0       Nulo   14     -3     
08/02/1979  0       Nulo   18     -2     
09/02/1979  0       Nulo   18     0      
10/02/1979  0       Nulo   19     2      
11/02/1979  0       Nulo   22     2      
12/02/1979  0       Nulo   21     5      
13/02/1979  0       Nulo   23     6      
14/02/1979  0       Nulo   24     9      
15/02/1979  0       Nulo   25     8      
16/02/1979  0       Nulo   21     8      
17/02/1979  0       Nulo   21     6      
18/02/1979  0       Nulo   18     5      
19/02/1979  0       Nulo   20     4      
20/02/1979  0       Nulo   23     5      
21/02/1979  0       Nulo   21     3      
22/02/1979  0       Nulo   24     3      
23/02/1979  0       Nulo   22     8      
24/02/1979  0       Nulo   22     4      
25/02/1979  0       Nulo   21     3      
26/02/1979  0       Nulo   25     3      
27/02/1979  0       Nulo   24     8      
28/02/1979  0       Nulo   22     5      
01/03/1979  0       Nulo   20     6      
02/03/1979  0       Nulo   23     5      
03/03/1979  0       Nulo   21     4      
04/03/1979  0       Nulo   19     2      
05/03/1979  0       Nulo   20     2      
06/03/1979  0       Nulo   18     2      
07/03/1979  0       Nulo   20     1      
08/03/1979  0       Nulo   21     3      
09/03/1979  0       Nulo   24     6      
10/03/1979  6       Nulo   20     7      
11/03/1979  0       Nulo   21     7      
12/03/1979  0       Nulo   22     9      
13/03/1979  0       Nulo   22     10     
14/03/1979  0       Nulo   24     9      
15/03/1979  0       Nulo   25     8      
16/03/1979  0       Nulo   26     7      
17/03/1979  0       Nulo   25     8      
18/03/1979  0       Nulo   27     11     
19/03/1979  0       Nulo   24     7      
20/03/1979  0       Nulo   24     11     
21/03/1979  0       Nulo   24     8      
22/03/1979  0       Nulo   21     7      
23/03/1979  0       Nulo   24     6      
24/03/1979  0       Nulo   23     6      
25/03/1979  0       Nulo   26     5      
26/03/1979  0       Nulo   25     6      
27/03/1979  0       Nulo   27     8      
28/03/1979  0       Nulo   23     8      
29/03/1979  0       Nulo   22     5      
30/03/1979  0       Nulo   25     6      
31/03/1979  0       Nulo   25     9      
01/04/1979  0       Nulo   22     8      
02/04/1979  0       Nulo   22     7      
03/04/1979  0       Nulo   24     5      
04/04/1979  0       Nulo   26     6      
05/04/1979  0       Nulo   27     6      
06/04/1979  0       Nulo   24     9      
07/04/1979  0       Nulo   27     12     
08/04/1979  0       Nulo   28     10     
09/04/1979  0       Nulo   29     11     
10/04/1979  0       Nulo   21     9      
11/04/1979  0       Nulo   22     8      
12/04/1979  0       Nulo   26     6      
13/04/1979  0       Nulo   29     9      
14/04/1979  0       Nulo   26     9      
15/04/1979  0       Nulo   29     11     
16/04/1979  0       Nulo   22     13     
17/04/1979  0       Nulo   26     8      
18/04/1979  0       Nulo   22     6      
19/04/1979  0       Nulo   26     8      
20/04/1979  0       Nulo   27     12     
21/04/1979  0       Nulo   27     7      
22/04/1979  0       Nulo   23     7      
23/04/1979  0       Nulo   22     8      
24/04/1979  0       Nulo   30     9      
25/04/1979  0       Nulo   29     11     
26/04/1979  0       Nulo   26     13     
27/04/1979  0       Nulo   29     11     
28/04/1979  0       Nulo   26     13     
29/04/1979  0       Nulo   24     10     
30/04/1979  0       Nulo   25     8      
01/05/1979  0       Nulo   32     8      
02/05/1979  0       Nulo   30     11     
03/05/1979  0       Nulo   31     13     
04/05/1979  0       Nulo   28     9      
05/05/1979  0       Nulo   29     8      
06/05/1979  0       Nulo   27     11     
07/05/1979  0       Nulo   32     14     
08/05/1979  0       Nulo   31     13     
09/05/1979  0       Nulo   28     13     
10/05/1979  0       Nulo   28     10     
11/05/1979  0       Nulo   30     8      
12/05/1979  0       Nulo   28     7      
13/05/1979  0       Nulo   29     9      
14/05/1979  0       Nulo   30     11     
15/05/1979  0       Nulo   27     7      
16/05/1979  0       Nulo   28     7      
17/05/1979  0       Nulo   31     12     
18/05/1979  0       Nulo   29     11     
19/05/1979  0       Nulo   32     14     
20/05/1979  0       Nulo   28     8      
21/05/1979  0       Nulo   26     7      
22/05/1979  0       Nulo   28     11     
23/05/1979  0       Nulo   29     12     
24/05/1979  0       Nulo   28     13     
25/05/1979  0       Nulo   28     9      
26/05/1979  0       Nulo   30     10     
27/05/1979  0       Nulo   29     12     
28/05/1979  0       Nulo   28     8      
29/05/1979  0       Nulo   29     12     
30/05/1979  0       Nulo   28     12     
31/05/1979  0       Nulo   30     14     
01/06/1979  19.5    Nulo   20     13     
02/06/1979  20      Nulo   18     9      
03/06/1979  24.5    Nulo   19     7      
04/06/1979  0       Nulo   26     9      
05/06/1979  0       Nulo   26     12     
06/06/1979  0       Nulo   27     13     
07/06/1979  0       Nulo   30     14     
08/06/1979  0       Nulo   24     9      
09/06/1979  0       Nulo   29     11     
10/06/1979  0       Nulo   21     13     
11/06/1979  0       Nulo   21     13     
12/06/1979  0       Nulo   25     11     
13/06/1979  0       Nulo   26     9      
14/06/1979  0       Nulo   28     11     
15/06/1979  0       Nulo   28     11     
16/06/1979  0       Nulo   31     13     
17/06/1979  0       Nulo   33     16     
18/06/1979  0       Nulo   33     12     
19/06/1979  0       Nulo   29     15     
20/06/1979  0       Nulo   33     16     
21/06/1979  7       Nulo   33     16     
22/06/1979  0       Nulo   25     16     
23/06/1979  0       Nulo   31     17     
24/06/1979  0       Nulo   32     13     
25/06/1979  0       Nulo   27     15     
26/06/1979  0       Nulo   29     14     
27/06/1979  0       Nulo   31     14     
28/06/1979  0       Nulo   31     16     
29/06/1979  0       Nulo   29     14     
30/06/1979  0       Nulo   31     14     
01/07/1979  0       Nulo   31     15     
02/07/1979  0       Nulo   30     16     
03/07/1979  0       Nulo   33     14     
04/07/1979  0       Nulo   27     13     
05/07/1979  0       Nulo   30     16     
06/07/1979  0       Nulo   30     16     
07/07/1979  0       Nulo   31     15     
08/07/1979  0       Nulo   32     17     
09/07/1979  0       Nulo   31     15     
10/07/1979  0       Nulo   35     16     
11/07/1979  0       Nulo   34     17     
12/07/1979  0       Nulo   31     18     
13/07/1979  0       Nulo   35     19     
14/07/1979  0       Nulo   31     16     
15/07/1979  0       Nulo   33     19     
16/07/1979  0       Nulo   32     20     
17/07/1979  36.5    Nulo   30     14     
18/07/1979  0       Nulo   28     16     
19/07/1979  0       Nulo   26     14     
20/07/1979  11.5    Nulo   25     15     
21/07/1979  0       Nulo   29     13     
22/07/1979  0       Nulo   30     14     
23/07/1979  0       Nulo   28     16     
24/07/1979  0       Nulo   32     15     
25/07/1979  0       Nulo   30     17     
26/07/1979  0       Nulo   31     15     
27/07/1979  0       Nulo   27     16     
28/07/1979  0       Nulo   26     16     
29/07/1979  14      Nulo   27     14     
30/07/1979  10      Nulo   26     15     
31/07/1979  0       Nulo   30     13     
01/08/1979  3       Nulo   30     13     
02/08/1979  5       Nulo   26     14     
03/08/1979  4       Nulo   27     14     
04/08/1979  8       Nulo   25     15     
05/08/1979  0       Nulo   26     14     
06/08/1979  0       Nulo   26     13     
07/08/1979  18      Nulo   25     14     
08/08/1979  0       Nulo   27     13     
09/08/1979  0       Nulo   25     14     
10/08/1979  44      Nulo   24     14     
11/08/1979  0       Nulo   23     13     
12/08/1979  0       Nulo   25     14     
13/08/1979  80      Nulo   20     12     
14/08/1979  0       Nulo   22     13     
15/08/1979  0       Nulo   26     13     
16/08/1979  0       Nulo   26     14     
17/08/1979  0       Nulo   23     12     
18/08/1979  0       Nulo   26     13     
19/08/1979  0       Nulo   27     11     
20/08/1979  0       Nulo   25     12     
21/08/1979  0       Nulo   22     11     
22/08/1979  0       Nulo   28     10     
23/08/1979  0       Nulo   25     13     
24/08/1979  0       Nulo   25     14     
25/08/1979  0       Nulo   25     13     
26/08/1979  0       Nulo   28     11     
27/08/1979  0       Nulo   24     14     
28/08/1979  0       Nulo   27     13     
29/08/1979  0       Nulo   29     14     
30/08/1979  0       Nulo   27     15     
31/08/1979  0       Nulo   29     14     
01/09/1979  0       Nulo   27     16     
02/09/1979  0       Nulo   26     15     
03/09/1979  0       Nulo   28     15     
04/09/1979  0       Nulo   29     14     
05/09/1979  0       Nulo   24     12     
06/09/1979  0       Nulo   26     10     
07/09/1979  0       Nulo   28     12     
08/09/1979  0       Nulo   29     11     
09/09/1979  0       Nulo   26     11     
10/09/1979  0       Nulo   27     14     
11/09/1979  0       Nulo   26     10     
12/09/1979  0       Nulo   25     9      
13/09/1979  0       Nulo   26     11     
14/09/1979  0       Nulo   27     11     
15/09/1979  0       Nulo   24     14     
16/09/1979  0       Nulo   25     8      
17/09/1979  0       Nulo   24     9      
18/09/1979  0       Nulo   26     11     
19/09/1979  0       Nulo   25     14     
20/09/1979  0       Nulo   28     13     
21/09/1979  0       Nulo   26     9      
22/09/1979  0       Nulo   25     12     
23/09/1979  0       Nulo   27     8      
24/09/1979  0       Nulo   29     11     
25/09/1979  0       Nulo   25     7      
26/09/1979  0       Nulo   27     9      
27/09/1979  0       Nulo   26     8      
28/09/1979  0       Nulo   27     9      
29/09/1979  0       Nulo   25     10     
30/09/1979  0       Nulo   24     8      
01/10/1979  0       Nulo   28     11     
02/10/1979  0       Nulo   27     11     
03/10/1979  0       Nulo   25     12     
04/10/1979  0       Nulo   29     9      
05/10/1979  0       Nulo   30     11     
06/10/1979  0       Nulo   29     15     
07/10/1979  0       Nulo   28     12     
08/10/1979  0       Nulo   29     12     
09/10/1979  0       Nulo   31     11     
10/10/1979  0       Nulo   28     11     
11/10/1979  0       Nulo   31     13     
12/10/1979  0       Nulo   29     10     
13/10/1979  0       Nulo   29     10     
14/10/1979  0       Nulo   31     9      
15/10/1979  0       Nulo   29     12     
16/10/1979  0       Nulo   31     11     
17/10/1979  0       Nulo   30     13     
18/10/1979  0       Nulo   30     11     
19/10/1979  0       Nulo   29     11     
20/10/1979  0       Nulo   31     8      
21/10/1979  0       Nulo   30     9      
22/10/1979  0       Nulo   28     9      
23/10/1979  0       Nulo   29     5      
24/10/1979  0       Nulo   26     6      
25/10/1979  0       Nulo   28     9      
26/10/1979  0       Nulo   29     10     
27/10/1979  0       Nulo   29     11     
28/10/1979  0       Nulo   30     12     
29/10/1979  0       Nulo   26     11     
30/10/1979  0       Nulo   25     6      
31/10/1979  0       Nulo   26     7      
01/11/1979  0       Nulo   27     8      
02/11/1979  0       Nulo   24     7      
03/11/1979  0       Nulo   26     8      
04/11/1979  0       Nulo   28     6      
05/11/1979  0       Nulo   27     9      
06/11/1979  0       Nulo   28     8      
07/11/1979  0       Nulo   29     5      
08/11/1979  0       Nulo   25     7      
09/11/1979  0       Nulo   25     4      
10/11/1979  0       Nulo   24     3      
11/11/1979  0       Nulo   26     5      
12/11/1979  0       Nulo   28     7      
13/11/1979  0       Nulo   24     8      
14/11/1979  0       Nulo   29     6      
15/11/1979  0       Nulo   30     7      
16/11/1979  0       Nulo   29     8      
17/11/1979  0       Nulo   29     6      
18/11/1979  0       Nulo   25     7      
19/11/1979  0       Nulo   23     5      
20/11/1979  0       Nulo   22     4      
21/11/1979  0       Nulo   25     -1     
22/11/1979  0       Nulo   24     -2     
23/11/1979  0       Nulo   22     -3     
24/11/1979  0       Nulo   23     0      
25/11/1979  0       Nulo   21     0      
26/11/1979  0       Nulo   23     -4     
27/11/1979  0       Nulo   24     -2     
28/11/1979  0       Nulo   22     -3     
29/11/1979  0       Nulo   24     -4     
30/11/1979  0       Nulo   27     -4     
01/12/1979  0       Nulo   26     -2     
02/12/1979  0       Nulo   12     -3     
03/12/1979  0       Nulo   9      -2     
04/12/1979  0       Nulo   16     0      
05/12/1979  0       Nulo   19     3      
06/12/1979  0       Nulo   17     4      
07/12/1979  0       Nulo   22     3      
08/12/1979  0       Nulo   23     3      
09/12/1979  0       Nulo   22     5      
10/12/1979  0       Nulo   20     5      
11/12/1979  0       Nulo   23     5      
12/12/1979  5.5     Nulo   23     6      
13/12/1979  0       Nulo   19     3      
14/12/1979  0       Nulo   19     4      
15/12/1979  0       Nulo   22     3      
16/12/1979  0       Nulo   17     5      
17/12/1979  0       Nulo   21     4      
18/12/1979  0       Nulo   23     5      
19/12/1979  0       Nulo   20     6      
20/12/1979  0       Nulo   17     3      
21/12/1979  0       Nulo   17     5      
22/12/1979  0       Nulo   22     6      
23/12/1979  0       Nulo   20     6      
24/12/1979  0       Nulo   19     -2     
25/12/1979  0       Nulo   19     -3     
26/12/1979  0       Nulo   23     -4     
27/12/1979  0       Nulo   23     -2     
28/12/1979  0       Nulo   19     1      
29/12/1979  0       Nulo   24     3      
30/12/1979  0       Nulo   22     2      
31/12/1979  0       Nulo   20     2      
01/04/1980  0       Nulo   28     4      
02/04/1980  0       Nulo   25     2      
03/04/1980  0       Nulo   27     4      
04/04/1980  0       Nulo   23     4      
05/04/1980  0       Nulo   20     5      
06/04/1980  0       Nulo   26     4      
07/04/1980  0       Nulo   25     4      
08/04/1980  0       Nulo   30     5      
09/04/1980  0       Nulo   30     8      
10/04/1980  0       Nulo   27     7      
11/04/1980  0       Nulo   26     8      
12/04/1980  0       Nulo   15     5      
13/04/1980  0       Nulo   17     0      
14/04/1980  0       Nulo   20     0      
15/04/1980  0       Nulo   25     4      
16/04/1980  0       Nulo   27     5      
17/04/1980  0       Nulo   27     7      
18/04/1980  0       Nulo   28     8      
19/04/1980  0       Nulo   25     11     
20/04/1980  0       Nulo   29     8      
21/04/1980  0       Nulo   26     10     
22/04/1980  0       Nulo   24     6      
23/04/1980  0       Nulo   27     6      
24/04/1980  0       Nulo   26     4      
25/04/1980  0       Nulo   25     4      
26/04/1980  0       Nulo   25     5      
27/04/1980  0       Nulo   26     4      
28/04/1980  0       Nulo   28     6      
29/04/1980  0       Nulo   27     7      
30/04/1980  0       Nulo   22     5      
01/05/1980  0       Nulo   26     11     
02/05/1980  0       Nulo   28     10     
03/05/1980  0       Nulo   28     12     
04/05/1980  0       Nulo   29     10     
05/05/1980  0       Nulo   29     12     
06/05/1980  0       Nulo   31     7      
07/05/1980  0       Nulo   30     6      
08/05/1980  0       Nulo   30     8      
09/05/1980  0       Nulo   31     7      
10/05/1980  0       Nulo   31     11     
11/05/1980  0       Nulo   26     13     
12/05/1980  0       Nulo   30     7      
13/05/1980  0       Nulo   32     8      
14/05/1980  0       Nulo   31     14     
15/05/1980  0       Nulo   28     10     
16/05/1980  0       Nulo   29     11     
17/05/1980  0       Nulo   31     8      
18/05/1980  0       Nulo   32     11     
19/05/1980  0       Nulo   32     9      
20/05/1980  0       Nulo   33     11     
21/05/1980  0       Nulo   33     13     
22/05/1980  0       Nulo   33     12     
23/05/1980  0       Nulo   31     13     
24/05/1980  0       Nulo   31     11     
25/05/1980  0       Nulo   30     14     
26/05/1980  0.3     Nulo   28     14     
27/05/1980  0       Nulo   32     11     
28/05/1980  0       Nulo   34     13     
29/05/1980  0       Nulo   35     12     
30/05/1980  0       Nulo   35     13     
31/05/1980  0       Nulo   36     15     
01/08/1980  0       Nulo   35.5   16     
02/08/1980  0       Nulo   30     14     
03/08/1980  0       Nulo   38     16     
04/08/1980  0       Nulo   37     19     
05/08/1980  0       Nulo   37     18     
06/08/1980  0       Nulo   35     16     
07/08/1980  0       Nulo   32.5   15     
08/08/1980  35      Nulo   31     18     
09/08/1980  0       Nulo   30     15     
10/08/1980  0       Nulo   30     13     
11/08/1980  0.5     Nulo   26     15     
12/08/1980  23.5    Nulo   30     17     
13/08/1980  8       Nulo   29     16     
14/08/1980  13.5    Nulo   30     16     
15/08/1980  18      Nulo   30     15     
16/08/1980  0.7     Nulo   26     15     
17/08/1980  4.5     Nulo   28.5   16     
18/08/1980  8       Nulo   28     16     
19/08/1980  6       Nulo   28     16     
20/08/1980  45      Nulo   26     15.5   
21/08/1980  5       Nulo   22.5   15     
22/08/1980  2       Nulo   22     14.5   
23/08/1980  0.4     Nulo   29     12     
24/08/1980  4       Nulo   26     13     
25/08/1980  0       Nulo   30     12     
26/08/1980  0       Nulo   30     13     
27/08/1980  0       Nulo   32.5   13.5   
28/08/1980  0       Nulo   28     15     
29/08/1980  0       Nulo   29     14     
30/08/1980  0       Nulo   30     14     
31/08/1980  0       Nulo   29     14     
01/09/1980  0       Nulo   28     15     
02/09/1980  0       Nulo   28     13     
03/09/1980  13.5    Nulo   26     14     
04/09/1980  0       Nulo   25     14.5   
05/09/1980  13      Nulo   24     14     
06/09/1980  0.4     Nulo   26     15     
07/09/1980  8.5     Nulo   27     15     
08/09/1980  9       Nulo   25.5   15     
09/09/1980  22      Nulo   25     15     
10/09/1980  0.2     Nulo   23.5   13     
11/09/1980  13      Nulo   25.5   15     
12/09/1980  7.5     Nulo   25     14     
13/09/1980  0       Nulo   25.5   12.5   
14/09/1980  0       Nulo   26     11.5   
15/09/1980  0       Nulo   27     10     
16/09/1980  0       Nulo   27     11     
17/09/1980  0       Nulo   29     12     
18/09/1980  0       Nulo   29.5   13     
19/09/1980  0       Nulo   29     11     
20/09/1980  0       Nulo   28     9.5    
21/09/1980  5.5     Nulo   29     11     
22/09/1980  0       Nulo   27     15     
23/09/1980  0       Nulo   25     14     
24/09/1980  24.5    Nulo   25     13     
25/09/1980  0       Nulo   29     14     
26/09/1980  21      Nulo   28.5   14     
27/09/1980  0.3     Nulo   23     15     
28/09/1980  101     Nulo   22     16     
29/09/1980  0       Nulo   22     15     
30/09/1980  0       Nulo   23     15     
01/10/1980  0       Nulo   23     11     
02/10/1980  0       Nulo   23     8      
03/10/1980  0       Nulo   24     6      
04/10/1980  0       Nulo   24     6.5    
05/10/1980  0       Nulo   25     7      
06/10/1980  0       Nulo   24     6      
07/10/1980  0       Nulo   23     6      
08/10/1980  3       Nulo   21     9.5    
09/10/1980  7       Nulo   22     8      
10/10/1980  2       Nulo   24     9      
11/10/1980  3.5     Nulo   23     10     
12/10/1980  0       Nulo   22     8      
13/10/1980  0.2     Nulo   26     7.5    
14/10/1980  0       Nulo   26     10     
15/10/1980  0       Nulo   24     11     
16/10/1980  0       Nulo   27     12     
17/10/1980  0       Nulo   24     10     
18/10/1980  0       Nulo   23     11     
19/10/1980  0       Nulo   25     7.5    
20/10/1980  0       Nulo   24     10     
21/10/1980  0       Nulo   23.5   7.5    
22/10/1980  0       Nulo   22     4      
23/10/1980  0       Nulo   23     5      
24/10/1980  0       Nulo   24     6      
25/10/1980  0       Nulo   25     5      
26/10/1980  0       Nulo   24     7      
27/10/1980  0       Nulo   23.5   7.5    
28/10/1980  0       Nulo   14     4.5    
29/10/1980  0       Nulo   11     2      
30/10/1980  0       Nulo   13     3      
31/10/1980  32      Nulo   13     4      
01/11/1980  0       Nulo   20     8      
02/11/1980  0       Nulo   21.5   7      
03/11/1980  0       Nulo   21.5   5.5    
04/11/1980  0       Nulo   21     3      
05/11/1980  0       Nulo   20.5   2      
06/11/1980  0       Nulo   22     4      
07/11/1980  0       Nulo   23     6      
08/11/1980  0       Nulo   24     3.5    
09/11/1980  0       Nulo   23     4      
10/11/1980  0       Nulo   24     3      
11/11/1980  0       Nulo   24     3      
12/11/1980  0       Nulo   25     4      
13/11/1980  0       Nulo   25     7.5    
14/11/1980  0       Nulo   23     9      
15/11/1980  10.5    Nulo   14     10     
16/11/1980  1.5     Nulo   11     7.5    
17/11/1980  3       Nulo   9      -3     
18/11/1980  2       Nulo   11     -2     
19/11/1980  0       Nulo   12     -4     
20/11/1980  8       Nulo   16     -2     
21/11/1980  0.4     Nulo   15.5   -1     
22/11/1980  0       Nulo   16     2.5    
23/11/1980  0       Nulo   17     -1     
24/11/1980  0       Nulo   22     -1     
25/11/1980  0.5     Nulo   10     -1     
26/11/1980  0       Nulo   10     -0.5   
27/11/1980  0       Nulo   12     -7     
28/11/1980  0       Nulo   19     -4     
29/11/1980  0       Nulo   20.5   -1     
30/11/1980  0       Nulo   22     -1     
01/12/1980  0       Nulo   22     2      
02/12/1980  0       Nulo   20     -1     
03/12/1980  0       Nulo   20.5   -1     
04/12/1980  0       Nulo   29     0      
05/12/1980  0       Nulo   23     4      
06/12/1980  0       Nulo   22.5   4      
07/12/1980  0       Nulo   24     9      
08/12/1980  0       Nulo   19.5   10     
09/12/1980  0       Nulo   21     6      
10/12/1980  0       Nulo   11.5   1.5    
11/12/1980  0       Nulo   14     3      
12/12/1980  0       Nulo   18.5   4      
13/12/1980  0       Nulo   23     6.5    
14/12/1980  0       Nulo   23     3.5    
15/12/1980  0       Nulo   17     4.5    
16/12/1980  0       Nulo   17.5   -1     
17/12/1980  0       Nulo   22.5   0      
18/12/1980  0       Nulo   25.5   -1     
19/12/1980  0       Nulo   23     0      
20/12/1980  0       Nulo   12     0      
21/12/1980  0       Nulo   20     -2.5   
22/12/1980  0       Nulo   21     0      
23/12/1980  0       Nulo   16     5      
24/12/1980  0       Nulo   15.5   4      
25/12/1980  0       Nulo   22     -1     
26/12/1980  0       Nulo   23     2      
27/12/1980  0       Nulo   24     5      
28/12/1980  0       Nulo   24     0      
29/12/1980  0       Nulo   21     2.5    
30/12/1980  0       Nulo   18.5   -2     
31/12/1980  0       Nulo   21.5   -1     
01/01/1981  0       Nulo   21     -1     
02/01/1981  0       Nulo   23     0      
03/01/1981  0       Nulo   20     0      
04/01/1981  0       Nulo   22     1      
05/01/1981  0       Nulo   19     3      
06/01/1981  0       Nulo   19     3      
07/01/1981  0       Nulo   22     4      
08/01/1981  0       Nulo   23     5      
09/01/1981  0       Nulo   23     0      
10/01/1981  0       Nulo   22     1      
11/01/1981  3.8     Nulo   15     3      
12/01/1981  8.5     Nulo   10     4      
13/01/1981  0       Nulo   20     6      
14/01/1981  0       Nulo   16     3      
15/01/1981  0       Nulo   15     2      
16/01/1981  0       Nulo   12     4      
17/01/1981  11.5    Nulo   7.1    6      
18/01/1981  2.5     Nulo   13     3      
19/01/1981  0       Nulo   12     2      
20/01/1981  0       Nulo   17     -1     
21/01/1981  13      Nulo   17     -2     
22/01/1981  0       Nulo   10     -1     
23/01/1981  0       Nulo   17     -5     
24/01/1981  0       Nulo   18     -4     
25/01/1981  0       Nulo   20     -3     
26/01/1981  2       Nulo   12     -2     
27/01/1981  0       Nulo   19     0      
28/01/1981  0       Nulo   24     1      
29/01/1981  0       Nulo   23     2      
30/01/1981  0       Nulo   24     3      
31/01/1981  0       Nulo   25     4      
01/02/1981  0       Nulo   20     -1     
02/02/1981  0       Nulo   19     1      
03/02/1981  0       Nulo   21     2      
04/02/1981  0       Nulo   21     3      
05/02/1981  0       Nulo   22     3      
06/02/1981  0       Nulo   20     3.5    
07/02/1981  0       Nulo   22     4.5    
08/02/1981  0       Nulo   22     6      
09/02/1981  0       Nulo   22     6      
10/02/1981  0       Nulo   21     7.5    
11/02/1981  0       Nulo   17.5   0      
12/02/1981  0       Nulo   24.5   -1     
13/02/1981  0       Nulo   16     -1     
14/02/1981  0       Nulo   19     -3     
15/02/1981  0.5     Nulo   22     1      
16/02/1981  0       Nulo   17     3.5    
17/02/1981  0       Nulo   21     2      
18/02/1981  0       Nulo   22     1      
19/02/1981  0       Nulo   19     3.5    
20/02/1981  0       Nulo   21     4      
21/02/1981  0       Nulo   23     4      
22/02/1981  0       Nulo   17     2.5    
23/02/1981  0       Nulo   21.5   1      
24/02/1981  0       Nulo   19     2      
25/02/1981  0       Nulo   22.5   2      
26/02/1981  2       Nulo   25     2      
27/02/1981  0       Nulo   24     4      
28/02/1981  0       Nulo   20     3      
01/03/1981  0       Nulo   20     8.5    
02/03/1981  0       Nulo   16.5   7      
03/03/1981  0       Nulo   18     5      
04/03/1981  0       Nulo   20     3      
05/03/1981  0       Nulo   20     0.5    
06/03/1981  0       Nulo   21     2      
07/03/1981  0       Nulo   21     0      
08/03/1981  0       Nulo   18     3      
09/03/1981  0       Nulo   22     2      
10/03/1981  0       Nulo   22.5   1      
11/03/1981  0       Nulo   22.5   1      
12/03/1981  0       Nulo   24.5   1      
13/03/1981  0       Nulo   22     3.5    
14/03/1981  0       Nulo   22.5   3      
15/03/1981  0       Nulo   24     7      
16/03/1981  0       Nulo   23     3      
17/03/1981  0       Nulo   24.5   5      
18/03/1981  0       Nulo   20     2.5    
19/03/1981  0       Nulo   25.5   2.5    
20/03/1981  0       Nulo   21.5   3      
21/03/1981  0       Nulo   17     5      
22/03/1981  0       Nulo   18     3      
23/03/1981  0       Nulo   23     3      
24/03/1981  0       Nulo   28     4      
25/03/1981  0       Nulo   19     2      
26/03/1981  0       Nulo   26     3      
27/03/1981  0       Nulo   25     5      
28/03/1981  0       Nulo   24     6      
29/03/1981  0       Nulo   20     6.5    
30/03/1981  0       Nulo   24     2.5    
31/03/1981  0       Nulo   23     3      
01/04/1981  0       Nulo   23     2      
02/04/1981  0       Nulo   29     4      
03/04/1981  0       Nulo   25     6      
04/04/1981  0       Nulo   24     3      
05/04/1981  0       Nulo   16     4      
06/04/1981  0       Nulo   20     5      
07/04/1981  0       Nulo   24     4      
08/04/1981  0       Nulo   26     6      
09/04/1981  0       Nulo   22     8      
10/04/1981  0       Nulo   25     7      
11/04/1981  0       Nulo   28.5   8      
12/04/1981  0       Nulo   29     10     
13/04/1981  0       Nulo   28     5      
14/04/1981  0       Nulo   19     7      
15/04/1981  0       Nulo   21     8      
16/04/1981  0       Nulo   20     10     
17/04/1981  0       Nulo   27     8      
18/04/1981  0       Nulo   24     6      
19/04/1981  0       Nulo   25     6      
20/04/1981  0       Nulo   25     8      
21/04/1981  0       Nulo   24     10     
22/04/1981  7       Nulo   21     9      
23/04/1981  8       Nulo   19     5      
24/04/1981  0       Nulo   19     7      
25/04/1981  0       Nulo   20     4      
26/04/1981  0       Nulo   25     6      
27/04/1981  0       Nulo   24     7      
28/04/1981  0       Nulo   25     10     
29/04/1981  0       Nulo   26     12     
30/04/1981  11.5    Nulo   22     10     
01/05/1981  0       Nulo   25     11.5   
02/05/1981  0       Nulo   23     10.5   
03/05/1981  0       Nulo   23     6      
04/05/1981  0       Nulo   26     8      
05/05/1981  0       Nulo   27     10     
06/05/1981  0       Nulo   26     12     
07/05/1981  0       Nulo   29     11     
08/05/1981  0       Nulo   23     13     
09/05/1981  0       Nulo   22     6      
10/05/1981  0       Nulo   27     4      
11/05/1981  0       Nulo   29     6      
12/05/1981  0       Nulo   30     7      
13/05/1981  0       Nulo   26     9      
14/05/1981  0       Nulo   29     11     
15/05/1981  0       Nulo   28     13     
16/05/1981  0       Nulo   27     11     
17/05/1981  0       Nulo   30     9      
18/05/1981  0       Nulo   28     9      
19/05/1981  0       Nulo   29     10     
20/05/1981  0       Nulo   30     12     
21/05/1981  0       Nulo   30     11     
22/05/1981  0       Nulo   21     9      
23/05/1981  0       Nulo   28     5      
24/05/1981  0       Nulo   28     7      
25/05/1981  0       Nulo   28     9      
26/05/1981  2       Nulo   30     11     
27/05/1981  0       Nulo   30     13     
28/05/1981  0       Nulo   30     16     
29/05/1981  0       Nulo   28     14     
30/05/1981  0       Nulo   29     11     
31/05/1981  0       Nulo   29     13     
25/07/1981  0       Nulo   33     11     
26/07/1981  0       Nulo   32     13     
27/07/1981  1.2     Nulo   31     12     
28/07/1981  11.2    Nulo   34     12     
29/07/1981  0       Nulo   30     13     
30/07/1981  1.2     Nulo   28     12     
